"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","      [AGVN- KT334] BÁO CÁO KẾ HOẠCH SẢN XUẤT ĐƠN HÀNG KHÁCH","","","","","","","","","","","","","","HIDE COL","Kết quả thực hiện ĐH:","","","","","","","Trạng thái MMTB:","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Top 1rst","0","Ưu tiên","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","On time","0","Đúng hạn (MMTB : Ready & Deadline xuất hàng<= Deadline giao hàng) ","","","","","Ready","Sẵn sàng sản xuất","","","","","","","","","","","","",""
"","","","","Từ","01/10/2025","","","Đến","10/07/2026","","","","","","","Delay","0","Trễ hạn (MMTB :Waiting or Deadline xuất hàng >Dealine giao hàng)","","","","","Waiting","Chờ khuôn, phụ kiện","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Off","0","Hủy (MMTB : Broken)","","","","","Broken","Hư hỏng","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Stt","Thông tin đơn hàng","","","","","Nội dung đơn hàng","","","","","","","","","Kêt quả xác nhận đơn đặt hàng","Trạng Trái NVL","","Ý kiến của KTSX","","","","Trạng thái MMTB","","","","","","","","","","","","","",""
"","","Bộ phận ","Khách hàng","Ngày đơn hàng","Số đơn hàng","Hiện trạng đơn hàng","Nhóm SP","Loại SP","Chi tiết ","Loại vàng","SL","TL nguyên (gr)","TL quy 24K (L)","Deadline 
giao hàng","Mã nhóm loại SP","","TL NL cấp SX","Deadline 
cấp NL","Ngày 
xác nhận ĐH","Deadline 
xuất hàng","Thời gian SX (ngày)","Xác nhận tình trạng SX","Nấu NL","Cán kéo","Đan dây","Hàn ống","Kéo ống","Dập bi","Vo bi","Hấp + 
quay bi","Dập định hình","Ghép","Nén","Bào dây","Khắc bi","Ra dây","Xi mạ"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
