"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","[AGVN-KT334] BÁO CÁO KẾ HOẠCH SẢN XUẤT ĐƠN HÀNG - VÀNG","","","","","","","","","","","","","","","","HIDE COL","Kết quả thực hiện ĐH:","","","","","","","","Kết quả cấp nguyên liệu :","","","","","","","Trạng thái MMTB:","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","Top 1rst","0","Ưu tiên","","","","","","Late","0","Cấp nguyên liệu trễ hạn so với Deadline KH cấp nguyên liệu","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","On time","53","Đúng hạn (MMTB : Ready & Deadline xuất hàng<= Deadline giao hàng& NL : OK) ","","","","","","OK","54","Đã cấp đủ 100% nguyên liệu ","","","","","Ready","Sẵn sàng sản xuất","","","","","","","","","","","","",""
"","","","Từ","01/10/2025","","","","","Đến","10/07/2026","","","","","","","","Delay","29","Trễ hạn (MMTB :Waiting or Deadline xuất hàng >Deadline giao hàng or NL : Not yet ; Not)","","","","","","Not yet","19","Chưa cấp đủ 100% nguyên liệu ","","","","","Waiting","Chờ khuôn, phụ kiện","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","Off","0","Hủy (MMTB : Broken)","","","","","","Not","9","Chưa cấp nguyên liệu","","","","","Broken","Hư hỏng","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Stt","Kho AG cập nhật thông tin đơn hàng","","","","","","","","","","","","","","","","Kêt quả xác nhận đơn đặt hàng","Kho tổng cập nhật việc cấp bổ nguyên liệu","","","","","","","","","KTSX cập nhật tình trạng MMTB, KH SX","","","","","Trạng thái MMTB","","","","","","","","","","","","","",""
"","","Bộ phận ","Khách hàng","Ngày đơn hàng","Số đơn hàng","Hiện trạng đơn hàng","Tiến độ đơn hàng","Nhóm SP","Loại SP","Chi tiết ","Loại vàng","Quy cách (Độ dài/Đường kính)
cm","SL","TL nguyên (gr)","TL quy 24K (L)","Deadline 
giao hàng","","","Deadline KH
cấp NL","Thực cấp lần 1","","Thực cấp lần 2","","Kho AG cập nhật 
Dẽ NL tồn kho Quy 24K (L)","NL còn phải cấp Quy 24K (L)","Kết quả cấp NL theo đơn hàng","","Ngày 
xác nhận ĐH","Deadline xuất hàng","","Thời gian SX (ngày)","Xác nhận tình trạng SX","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Mã nhóm loại SP","","","Ngày","TL quy 24K (L)","Ngày","TL quy 24K (L)","","","Ngày cấp hoàn tất","Nguyên liệu cấp","","Kế hoạch","Thực hiện","","","Nấu NL","Cán kéo","Đan dây","Hàn ống","Kéo ống","Dập bi","Vo bi","Hấp + 
quay bi","Dập định hình","Ghép","Nén","Bào dây","Khắc bi","Ra dây","Xi mạ"
"","[1]","[2]","[3]","[4]","[5]","","","","[6]","[7]","[8]","","[9]","[10]","[11]","[12]","","[13]","[14]=[23]+1 ngày","[15]","[16]","[17]","[18]","[19]","[20]","[21]","[22]","[23]","[24]=[14]+[26] 
+ 1 ngày","[25]=[21]+[26]
+1 ngày","[26]","[27]","[a]","[b]","[c]","[d]","[e]","[f]","[g]","[h]","[i]","[j]","[k]","[l]","[m]","[n]","[o]"
"","","","","","","","","","","TOTAL","","","700","2,922.95 gr","#VALUE!","","","Auto","Auto","","37.134 L","","0.000 L","0.000 L","0.000 L","Auto","Auto","","Auto","Auto","","Auto","","","","","","","","","","","","","","",""
