"ĐƠN ĐẶT HÀNG GIA CÔNG - Kho L3","","","","","","","","","","","","","","Số :","[DHAG-24/10/03]  - Lô vàng 750W","",""
"28","BBW4","Lắc Bi 4.0 mm","750W","75.00%","","","15-17","10","6.75","1.80","6.60","1.76","-0.15","67.50","1.35","",""
"","","TỔNG CỘNG ","","","","","","300","","","224.18","59.78","","2354.20","47.08","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"ĐƠN ĐẶT HÀNG GIA CÔNG - Kho L3","","","","","","","","","","","","","","Số :","[DHAG-24/10/03] - Lô 610Y","",""
"","","","","","","","","","","","","","","Ngày :","11/10/2024","",""
"Cty/ khách hàng: KD Sỉ","","","","","","","Địa chỉ: ","","","","","","","- Ngày trả SP gia công:","","",""
"Tên người đặt hàng: Anh Triều","","","","","","","Chức danh: ","","","","","","","- Giá vàng:","","",""
"STT","Mã SP","Tên
sản phẩm","","","","","","Số
lượng","TL vàng
nguyên SP Yêu cầu","","TL vàng
nguyên SP đang sản xuất","","Chênh lệch","Tổng trọng lượng
SP đang sản xuất","","Ghi chú đơn hàng","Đánh giá hiện trạng"
"","","","Loại NVL","Tuổi ","Đường kính chỉ (mm)","Bề bản
(mm)","Độ dài 
(cm)","","Gr/SP","chỉ/SP","Gr/SP","chỉ/SP","","Nguyên (gr)","Qui (L)","",""
"","","","","","","","","","","","","","","","","",""
" CHI TIẾT ĐƠN HÀNG","","","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","","","","[9] = [6]*[7]","[10]=[9]*[2]/
99.99/37.5","",""
"1","","Dây chữ cong khế","","61.00%","","","","30","3.75","1.00","","0.00","-3.75","112.50","1.83","","Chưa thể thực hiện"
"2","","Dây chữ cong khế","","61.00%","","","","20","7.50","2.00","","0.00","-7.50","150.00","2.44","","Chưa thể thực hiện"
"3","","Dây chữ cong khế","","61.00%","","","","10","11.25","3.00","","0.00","-11.25","112.50","1.83","","Chưa thể thực hiện"
"4","CY60CU","Dây Khoen lật 0.6mm","610Y","61.00%","0.60","","42-45","20","5.63","1.50","4.48","1.19","-1.15","112.60","1.83","",""
"5","CY70CU","Dây Khoen lật 0.7mm","610Y","61.00%","0.70","","48-50","20","9.38","2.50","7.23","1.93","-2.15","187.60","3.05","",""
"6","CY35FS","Dây Franco vuông 0.35mm","610Y","61.00%","0.35","","45-47","20","3.75","1.00","3.45","0.92","-0.30","75.00","1.22","","Chưa thể thực hiện do chưa có khuôn ghép"
"7","CY40FS","Dây Franco vuông 0.4 mm","610Y","61.00%","0.40","","45-47","20","5.63","1.50","5.29","1.41","-0.34","112.60","1.83","",""
"8","CY50FS","Dây Franco vuông 0.5 mm","610Y","61.00%","0.50","","45-47","20","9.38","2.50","8.04","2.14","-1.34","187.60","3.05","",""
"9","CY60FS","Dây Franco vuông 0.6 mm","610Y","61.00%","0.60","","48-50","10","13.13","3.50","12.27","3.27","-0.86","131.30","2.14","",""
"10","CY70FS","Dây Franco vuông 0.7 mm","610Y","61.00%","0.70","","48-50","10","16.88","4.50","15.47","4.13","-1.41","168.80","2.75","",""
"11","CY30HE","Dây mì dẹp trơn 0.3mm","610Y","61.00%","0.30","","42-45","20","3.00","0.80","3.44","0.92","0.44","60.00","0.98","",""
"12","CY40HE","Dây mì dẹp trơn 0.4mm","610Y","61.00%","0.40","","45-47","20","5.63","1.50","5.34","1.42","-0.29","112.60","1.83","",""
"13","CY50HE","Dây mì dẹp trơn 0.5mm","610Y","61.00%","0.50","","42-45","10","9.38","2.50","8.94","2.38","-0.44","93.80","1.53","",""
"14","CY60HE","Dây mì dẹp trơn 0.6mm","610Y","61.00%","0.60","","42-45","10","13.13","3.50","12.58","3.35","-0.55","131.30","2.14","",""
"15","CY30HT1","Dây mì dẹp xoắn 0.3mm","610Y","61.00%","0.30","","43-45","20","3.00","0.80","3.44","0.92","0.44","60.00","0.98","",""
