"Số PO:","PO240105-750Y","PO240105-750Y","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Deadline đề xuất: ","15/06/2024","15/06/2024","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHI TIẾT ĐƠN HÀNG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I. ĐỀ XUẤT NGUYÊN LIỆU SẢN XUẤT BI","","","","","","","","","","","","","CHI TIẾT ĐƠN HÀNG","","","CHI TIẾT THU HỒI VỤN","","","","THỜI GIAN THỰC HIỆN","","","","","","","",""
"Loại bi","Số lượng (Viên)","Số lượng bi theo PO","Số kiểu khắc","Hệ số","Số lượng bi sx","Bi dự phòng dôi dư","Tổng TL Bi
(Gr)","Hệ số
dẻ","TL NL theo hệ số","TL NL quay đầu","TL NL đề xuất","","Loại dây (Sợi)","120","","Loại bi","Vụn khắc","","","Thời gian ra dây/1 sợi
Bao gồm: xỏ, hàn đầu bass, gắn khóa, rung rửa sạch","Giờ","","Size bi","TL bi trơn/ viên","","","",""
"+ Nấu quay đầu","","","Tận dụng gói đầu","","","","","","","","","","","","","","","","","Bi nhỏ lần 1","160","240","160","240","","","",""
"Cán dát->Quay bi","","","48","","","","","","","48","","","","","","","","","","Bi nhỏ lần 2","400","","160","240","","","",""
"Khắc bi","","","","","","","","","","59","","","","","","","","","","Bi nhỏ lần 3","","480","192","288","","","",""
"+ Hiệu chỉnh","","","9:00","","","","","","","","","","","","","","","","","Bi nhỏ lần 4","","288","115.2","173","","","",""
"+ Gom bột","","","1:30","","","","","","","","","","","","","","","","","Bi nhỏ lần 5","227","173","160","240","","","",""
"+ Khắc bi","","","56.23","","","","","","","","","","","","","","","","","Bi nhỏ lần 6","110","240","140","210","","","",""
"Ra dây","","","21:00","","","","","","","3","","","","","","","","","","Bi nhỏ lần 7","","210","84","126","","","",""
"Xi mạ","","","Tận dụng gói đầu + 1 ngày cuối","","","","","","","1","","","","","","","","","","Bi nhỏ lần 8","","126","50","76","","","",""
"Chụp quay","","","Tận dụng gói đầu + 1 ngày cuối","","","","","","","1","","","","","","","","","","TỔNG CỘNG","1297","1757","1221.43","1832.14","","","",""
"TỔNG CỘNG ","","","","","","","","","","112","","","","","","","","","","18KW","Nguyên liệu mới","Dát quay đầu","Thành phẩm","Dát ","","","",""
