"CÔNG TY TNHH ASIANA GOLD","","","","",""
"","","","","",""
"ĐỊNH MỨC HAO HỤT","","","","",""
"","","","","",""
"- Căn cứ thông báo số ","","","","",""
"","","","","",""
"","","","","",""
"Stt","CÔNG ĐOẠN","","TÊN 
CÔNG ĐOẠN","MÃ HAO HỤT","ĐỊNH MỨC"
"68","DKB","AG","Đan kết dây bi  nguyên liệu bạc","DKBAG",""
"69","DKB","PT","Đan kết dây bi  nguyên liệu PT","DKBPT",""
"70","XMA","24","Xi mạ sản phẩm 24K","XMA24","0"
"71","XMA","TT","Xi mạ sản phẩm thấp tuổi (61-68-75)","XMATT","0"
"72","XMA","AG","Khắc dấu nguyên liệu bạc","XMAAG",""
"73","XMA","PT","Khắc dấu nguyên liệu PT","XMAPT",""
"74","GEP","24","Ghép dây nguyên liệu 24K","GEP24",""
"75","GEP","TT","Ghép dây nguyên liệu thấp tuổi (61-68-75)","GEPTT","0"
"76","GEP","AG","Ghép dây nguyên liệu bạc","GEPAG",""
"77","GEP","PT","Ghép dây nguyên liệu PT","GEPPT",""
"78","BAS","24","Sản xuất bass nguyên liệu 24K","BAS24",""
"79","BAS","TT","Sản xuất bass nguyên liệu thấp tuổi (61-68-75)","BASTT","0"
"80","BAS","AG","Sản xuất bass nguyên liệu bạc","BASAG",""
"81","BAS","PT","Sản xuất bass nguyên liệu PT","BASPT",""
"82","SXK","24","Sản xuất khóa nguyên liệu 24K","SXK24",""
"83","SXK","TT","Sản xuất khóa nguyên liệu thấp tuổi (61-68-75)","SXKTT","0"
"84","SXK","AG","Sản xuất khóa nguyên liệu bạc","SXKAG",""
"85","SXK","PT","Sản xuất khóa nguyên liệu PT","SXKPT",""
"86","HUY","24","Sản xuất bass nguyên liệu 24K","HUY24",""
"87","HUY","TT","Sản xuất bass nguyên liệu thấp tuổi (61-68-75)","HUYTT","0"
"88","HUY","AG","Sản xuất bass nguyên liệu bạc","HUYAG",""
"89","HUY","PT","Sản xuất bass nguyên liệu PT","HUYPT",""
"90","DLL","24","Sản xuất bass nguyên liệu 24K","DLL24",""
"91","DLL","TT","Sản xuất bass nguyên liệu thấp tuổi (61-68-75)","DLLTT","0"
"92","DLL","AG","Sản xuất bass nguyên liệu bạc","DLLAG",""
"93","DLL","PT","Sản xuất bass nguyên liệu PT","DLLPT",""
"94","BHH","24","Sản xuất bass nguyên liệu 24K","BHH24",""
"95","BHH","TT","Sản xuất bass nguyên liệu thấp tuổi (61-68-75)","BHHTT","0"
"96","BHH","AG","Sản xuất bass nguyên liệu bạc","BHHAG",""
"97","BHH","PT","Sản xuất bass nguyên liệu PT","BHHPT",""
"98","BAS","24","Sản xuất bass nguyên liệu 24K","BAS24",""
"99","BAS","TT","Sản xuất bass nguyên liệu thấp tuổi (61-68-75)","BASTT",""
"100","BAS","AG","Sản xuất bass nguyên liệu bạc","BASAG",""
"101","BAS","PT","Sản xuất bass nguyên liệu PT","BASPT",""
"102","GEP","24","Sản xuất bass nguyên liệu 24K","GEP24",""
"103","GEP","TT","Sản xuất bass nguyên liệu thấp tuổi (61-68-75)","GEPTT",""
"104","GEP","AG","Sản xuất bass nguyên liệu bạc","GEPAG",""
"105","GEP","PT","Sản xuất bass nguyên liệu PT","GEPPT",""
"106","BHH","24","Sản xuất bass nguyên liệu 24K","BHH24",""
"107","BHH","TT","Sản xuất bass nguyên liệu thấp tuổi (61-68-75)","BHHTT","0"
"108","BHH","AG","Sản xuất bass nguyên liệu bạc","BHHAG",""
"109","BHH","PT","Sản xuất bass nguyên liệu bạc","BHHPT",""
"110","NPK","24","Sản xuất bass nguyên liệu 24K","NPK24",""
"111","NPK","TT","Sản xuất bass nguyên liệu thấp tuổi (61-68-75)","NPKTT","0"
"112","NPK","AG","Sản xuất bass nguyên liệu bạc","NPKAG",""
"113","NPK","PT","Sản xuất bass nguyên liệu PT","NPKPT",""
