"THỐNG KÊ SỐ LIỆU HAO HỤT VÀNG 17K & 10K & 23K & BẠC925","","","","","","","","","","","","","","","","","THỐNG KÊ SỐ LIỆU KHÂU NẤU BỘT BÀO","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Tháng 8+9+10/2025","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CĐ","TUỔI VÀNG","XUẤT
(gr)","NHẬP
(gr)","TL TP
(gr)","CHÊNH LỆCH XUẤT/NHẬP","","Hao hụt định mức Mr. Hiển đề nghị","","Hao hụt định mức các loại vàng đang áp dụng","","","Chênh lệch giữa ĐM mới và ĐM hiện hành","","","","","","","","","","","","","","","","",""
"","","","","","TL (gr)","Tỉ lệ HH %","Tỉ lệ /100gr","TL (gr)","Loại vàng","Tỉ lệ /100gr","TL (gr)","Tỉ lệ %/100gr","TL (gr)","","","","TUỔI VÀNG","XUẤT LÀM SẠCH","NHẬP LÀM SẠCH","CHÊNH LỆCH","Tỉ lệ HH/TL xuất","XUẤT NẤU
(L1)","NHẬP SAU NẤU
(L1)","CHÊNH LỆCH","Tỉ lệ HH/TL xuất","XUẤT NẤU
(L2)","NHẬP SAU NẤU
(L2)","CHÊNH LỆCH","Tỉ lệ HH/TL xuất"
"","","(1)","(2)","(3)","(4)=(1)-(2)","(5)=(4)/(1)","(6)","(7)=(1)*(6)/100","(8)","(9)","(10)=(1)*(9)/100","(11)=(12)/(1)*100","(12)=(7)-(10)","","","","","","","","","","","","","","","",""
"(Treo chi phí)","17K","501.98","501.96","415.43","0.02","0.00%","","","18K","0.0001","0.000502","-0.010%","-0.000502","","","","","","","","","","","","","","","",""
"","10K","764.45","765.74","658.26","-1.29","-0.17%","","","15K","0.0001","0.000764","-0.010%","-0.000764","","","","","","","","","","","","","","","",""
"","23K","51.25","51.2","44.23","0.05","0.10%","","","24K","","0.0000","","0.0000","","","","","","","","","","","","","","","",""
"","24K","72.75","72.67","69.39","0.08","0.11%","","","","","","","","","","","","","","","","","","","","","","",""
"","BAC925","422.67","424.5","224.09","-1.83","-0.43%","","","","","","","","","","","","","","","","","","","","","","",""
"KHẮC BI","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(Tính hao cho thợ)","10K","544.24","542.9","335.1","1.35","0.25%","","","15K","0.000","0.000000","0.000%","0.000000","","","","","","","","","","","","","","","",""
"","BAC925","0","0.0","0","0.00","#DIV/0!","0.7","0.0000","","","","","","","","","","","","","","","","","","","","",""
"","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
