"1","2","3","4","5","","","6","7","","8","9","10","11","12","13","14","15","16","17","18","19","20","21","ALL","23","24","25","26","27","28"
"03/01/2026","Đinh Công Thành","","HW88-N16H","Hội chế vàng trắng , làm dây","","","HW88-N16H","Xuất nấu","","9.30","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
"03/01/2026","Đinh Công Thành","","ZN","Kẽm","","","Zn","Xuất nấu","","2.44","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
"03/01/2026","Đinh Công Thành","","HW88-N16H","Hội chế vàng trắng , làm dây","","","HW88-N16H","Nhập sau nấu","","","45.73","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
"03/01/2026","Đinh Công Thành","","HW88-N16H","Hội chế vàng trắng , làm dây","","","HW88-N16H","Xuất nấu","","45.73","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","","",""
"03/01/2026","Đinh Công Thành","","NL99","NL99","","","99","Xuất nấu","","33.55","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","","",""
"03/01/2026","Đinh Công Thành","","NL416W","Nguyên liệu vàng 416 trắng","","","10K","Nhập sau nấu","","","79.05","","","0.23","0.15%","0.119","0.111","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","#N/A","#N/A",""
"03/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Xuất nấu","","73.41","","","","","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","",""
"03/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Nhập sau nấu","","","73.19","","","0.22","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","",""
"05/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Xuất nấu","","43.86","","","","","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","",""
"05/01/2026","Heng Gia Lập","","NLPT99","Nguyên liệu PT99","","","PT99","Xuất nấu","","39.74","","","","","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","",""
"05/01/2026","Heng Gia Lập","","NLPD","Nguyên liệu Palladium","","","PD","Xuất nấu","","4.35","","","","","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","",""
"05/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Nhập sau nấu","","","43.74","","","0.12","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","",""
"05/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Nhập sau nấu","","","43.83","","","0.26","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","",""
"05/01/2026","Đinh Công Thành","","NL99","NL99","","","99","Xuất nấu","","121.88","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","750Y","","",""
"05/01/2026","Đinh Công Thành","","NL750Y","Nguyên liệu vàng 750 vàng","","","18K","Xuất nấu","","6.39","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","750Y","","",""
"05/01/2026","Đinh Công Thành","","HH40%AG","Hỗn hợp 40% Bạc","","","HH40%AG","Xuất nấu","","40.02","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","750Y","","",""
"05/01/2026","Đinh Công Thành","","NL750Y","Nguyên liệu vàng 750 vàng","","","18K","Nhập sau nấu","","","167.86","","","0.43","0.15%","0.252","0.178","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","750Y","0.13","530,440 ₫",""
"05/01/2026","Đinh Công Thành","","BAC9999","Bạc9999","","","BAC9999","Xuất nấu","","16.03","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
"05/01/2026","Đinh Công Thành","","CU","Đồng bi","","","Cu","Xuất nấu","","22.03","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
"05/01/2026","Đinh Công Thành","","THAULA","Nguyên liệu Thau lá","","","","Xuất nấu","","2.04","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
"05/01/2026","Đinh Công Thành","","HH40%AG","Hỗn hợp 40% Bạc","","","HH40%AG","Nhập sau nấu","","","40.02","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
"06/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Xuất chấy vôi","","43.64","","","","","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","",""
