"Công ty TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","","","","Nấu mới","1012.83","1.519","","","","","","","","",""
"02/01/2026","Đinh Công Thành","","NL99","NL99","","","99","Xuất nấu ","","2.70","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","","DMM","","","",""
"02/01/2026","Đinh Công Thành","","HW88-N16H","Hội chế vàng trắng , làm dây","","","HW88-N16H","Xuất nấu ","","3.72","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","","DMM","","","",""
"02/01/2026","Đinh Công Thành","","NL416W","Nguyên liệu vàng 416 trắng","","","10K","Nhập sau nấu","","","6.36","","","0.06","0.15%","0.010","0.050","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","T","DMM","","","",""
"02/01/2026","Đinh Công Thành","","NL750W","Nguyên liệu vàng 750 trắng","","","18K","Xuất nấu ","","23.00","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","750W","","DMM","","","",""
"02/01/2026","Đinh Công Thành","","NL610Y","Nguyên liệu vàng 610 vàng","","","15K","Xuất nấu ","","7.31","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","610Y","","DMM","","","",""
"02/01/2026","Đinh Công Thành","","NL610W","Nguyên liệu vàng 610 trắng","","","15K","Xuất nấu ","","17.29","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","610W","","DMM","","","",""
"02/01/2026","Đinh Công Thành","","NL750W","Nguyên liệu vàng 750 trắng","","","18K","Nhập sau nấu","","","23.01","","","-0.01","0.13%","0.030","-0.040","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","750W","T","DMM","","","",""
"02/01/2026","Đinh Công Thành","","NL610W","Nguyên liệu vàng 610 trắng","","","15K","Nhập sau nấu","","","24.56","","","0.04","0.13%","0.032","0.008","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","610W","T","DMM","","","",""
"03/01/2026","Đinh Công Thành","","BAC9999","Bạc9999","","","BAC9999","Xuất nấu","","26.04","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","DMM","","","",""
"03/01/2026","Đinh Công Thành","","CU","Đồng bi","","","Cu","Xuất nấu","","8.73","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","DMM","","","",""
"03/01/2026","Đinh Công Thành","","HW88-N16H","Hội chế vàng trắng , làm dây","","","HW88-N16H","Xuất nấu","","9.30","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","DMM","","","",""
"03/01/2026","Đinh Công Thành","","ZN","Kẽm","","","Zn","Xuất nấu","","2.44","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","DMM","","","",""
"03/01/2026","Đinh Công Thành","","HW88-N16H","Hội chế vàng trắng , làm dây","","","HW88-N16H","Nhập sau nấu","","","45.73","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","T","DMM","","","",""
"03/01/2026","Đinh Công Thành","","HW88-N16H","Hội chế vàng trắng , làm dây","","","HW88-N16H","Xuất nấu","","45.73","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","","DMM","","","",""
