"","","","","","","","","","","","","","","","","","","","",""
"[AGVN-PK334]  BÁO CÁO CHI TIẾT THỰC HIỆN PHÂN KIM GỘP - KCP & KHO AG","","","","","","","","","","","","","","","Số: ","PKAU-26/0102","","","",""
"","","","","","","","","","","","","","","","Ngày:","06/01/2026","","","",""
"","","","","","","","","","","","","","","","","0","","","",""
"STT"," Tên nguyên liệu","Kết quả test tuổi Công ty","","","Tỉ lệ NL PK gộp của AG & KCP","Kết quả Công ty","","","","Kết quả test tuổi Tiệm tài","","","Kết quả Tiệm tài","","","","C/L kết quả test tuổi vàng Tiệm Tài so với Công ty","","",""
"","","KQ test 1","KQ test 2","Kết quả test tuổi BQ","","Trọng lượng Au (gram)","","Trọng lượng Ag (gram)","","KQ test 1","KQ test 2","Kết quả test tuổi BQ","Trọng lượng Au (gram)","","Trọng lượng Ag (gram)","","","","",""
"","","","","","","Nguyên","Quy 99.99%","Nguyên","Quy 99.99%","","","","Nguyên","Quy 99.99%","Nguyên","Quy 99.99%","Trọng lượng (gr)","Tỉ lệ (%)","",""
"(1)","(2)","(3)","(4)","(5) = (3)+(4)/2","(6)","(7)","(8)=(5)*(7)/
99.99%","(9)","(10)=(5)*(7)/
99.99%","(11)","(12)","(13) = (11)+(12)/2","(14)","(15)=(14)*(13)/
99.99%","(16)","(17)=(16)*(5)/
99.99%","(18) = (15)-(8)","(19) = (18)/(8)","",""
"BƯỚC 1 : TỔNG TL NL VÀNG + TỔNG TL NL BẠC","","","","","","1576.660","310.751","","","","","","1576.660","310.698","","","","","",""
"1.1 : TỔNG TL NL VÀNG THỰC HIỆN PK","","","","","100.00%","412.650","310.447","","","","","","412.650","310.698","","","0.251","0.08%","","1.370"
"KCP","NL18K","75.097%","75.130%","75.11%","100.00%","51.15","38.424","","","75.110%","75.040%","75.08%","51.15","38.405","","","","","","5.470"
"KCP","NL18K","75.172%","75.362%","75.27%","","31.66","23.832","","","75.310%","75.310%","75.31%","31.66","23.846","","","","","","22.832"
"KCP","NL18K","75.281%","75.441%","75.36%","","38.75","29.205","","","75.380%","75.330%","75.36%","38.75","29.203","","","","","",""
"KCP","NL18K","74.760%","74.540%","74.65%","","21.26","15.872","","","75.020%","75.340%","75.18%","21.26","15.985","","","","","",""
"KCP","NL18K","75.293%","75.254%","75.27%","","36.48","27.463","","","75.300%","75.150%","75.23%","36.48","27.445","","","","","",""
"KCP","NL18K","74.98%","74.950%","74.97%","","9.56","7.167","","","75.060%","75.300%","75.18%","9.56","7.188","","","","","",""
"KCP","NL18K","75.280%","75.291%","75.29%","","139.55","105.071","","","75.290%","75.280%","75.29%","139.55","105.071","","","","","",""
"KCP","NL18K","75.175%","74.886%","75.03%","","44.96","33.737","","","75.130%","75.150%","75.14%","44.96","33.786","","","","","","5.470"
"KCP","NL18K","75.668%","75.820%","75.74%","","12.58","9.530","","","75.880%","76.310%","76.10%","12.58","9.574","","","","","","22.83"
