"","","[AGVN-PK334]  BÁO CÁO TỔNG HỢP THỰC HIỆN PHÂN KIM PT  - NĂM 2026","","","","","","","","","","","","","","","","","","","","","","https://docs.google.com/spreadsheets/d/1Ga0Vl1oGwNxJGv50rRch1PtwGHjSczHJocJy3ZcJr9U/edit?gid=770492082#gid=770492082"
"","","","","","","","","","","","","","","","","","","","","","","","","[AGVN] Báo cáo Phân Kim NVL 2025"
"","","Đơn vị tính : Gr","","","","","","","","","","","","","","","","","- Chênh lệch (+) thiếu","","- Chênh lệch (-) thừa","",""," [AGVN-C3114-1] BÁO CÁO TỔNG HỢP HAO HỤT KHÂU NẤU HẠ TUỔI PHÂN KIM"
"STT","Ngày phân kim","Số chứng từ","BƯỚC 1 :  TỔNG TL PT+ PD","","","","","","","BƯỚC 2 :  TỔNG TL PT SAU CÁN DÁT MỎNG","","","","","BƯỚC 3 : TL HỖN HỢP SAU KẾT TỦA","BƯỚC 4 : THU HỒI PT SAU PK","","","B5: KẾT QUẢ CHÊNH LỆCH SAU PK","","","","",""
"","","","NL PT","","","","NL PD","","","Tổng TL hỗn hợp NL","NL PT","","NL PD","","","NL PT","","","NL PT","","","","",""
"","","","Nguồn test tuổi","Tuổi","TL Nguyên","TL Quy 99.99%","TL Nguyên","Hàm lượng PD","","","Tuổi","TL Quy 99.99%","Tuổi","TL Quy 99.99%","","Tuổi","Nguyên","TL Quy 99.99%","C/L tăng giảm tuổi B1-B4","","Tổng chênh lệch PT","","",""
"","","","","","","","","Tuổi","TL Quy 99.99%","","","","","","","","","","NL PT","Hàm lượng PD trong PT","TL Quy 99.99%","Tỉ lệ %","",""
"","09/01/2026","PK-PT26-0101","","","54.97","0.000","0.000","","0.000","0.00","","0.00","","0.00","0.00","","0.00","0.00","0.000","","0.000","#DIV/0!","TC","TC10"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","0.00","0.000","0.000","","0.000","0.00","","0.00","","0.00","0.00","","0.00","0.00","0.000","","0.000","#DIV/0!","TC","TC10"
"","TỔNG CỘNG T02-2026","","","","0.00","0.000","0.000","","0.00","0.00","","0.00","","0.00","0.00","","0.00","0.00","0.00","","0.000","#DIV/0!","Tong",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","0.00","0.000","0.000","","0.000","0.00","","0.00","","0.00","0.00","","0.00","0.00","0.000","","0.000","#DIV/0!","TC","TC11"
"","TỔNG CỘNG T03-2026","","","","0.00","0.000","0.000","","0.00","0.00","","0.00","","0.00","0.00","","0.00","0.00","0.00","","0.000","0.00","Tong",""
"1","","","TÀI","","","0.000","","","0.000","","","","","","","","#REF!","#REF!","","","","","",""
"","","","","","0.00","0.000","0.000","","0.000","0.00","","0.00","","0.00","0.00","","#REF!","#REF!","#REF!","","#REF!","#REF!","TC","TC12"
