"","","","","","","","","","","","","","","","","","","",""
"","[AGVN-PK334]  BÁO CÁO CHI TIẾT THỰC HIỆN PHÂN KIM PT","","","","","","","","","","","","","","","Số: ","PK-PT26/0101","",""
"","","","","","","","","","","","","","","","","Ngày:","","",""
"","","","","","","","","","","","","","","","","","0","",""
"","STT"," Tên nguyên liệu","Kết quả test tuổi Công ty","","","Tỉ lệ NL PK gộp của AG & KCP","Kết quả Công ty","","","","Kết quả test tuổi Tiệm Tài","","","Kết quả Tiệm Tài","","","","C/L kết quả test tuổi vàng Tiệm Tài so với Công ty",""
"","","","KQ test 1","KQ test 2","Kết quả test tuổi BQ","","Trọng lượng Pt (gram)","","Trọng lượng Pd (gram)","","KQ test 1","KQ test 2","Kết quả test tuổi BQ","Trọng lượng Pt (gram)","","Trọng lượng Pd (gram)","","",""
"","","","","","","","Nguyên","Quy 99.99%","Tỉ lệ % Pd","TL Pd","","","","Nguyên","Quy 99.99%","Tỉ lệ % Pd","TL Pd","Trọng lượng (gr)","Tỉ lệ (%)"
"","HH","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","BƯỚC 5 :  KẾT QUẢ CHÊNH LỆCH SAU PK","","","","","","","","","","","","","","","","","",""
"","5.1. CHÊNH LỆCH TRỌNG LƯỢNG CÂN (B1) VÀ (B2)","","","","","","TL","CÔNG THỨC","","C.LỆCH","","","","TL","CÔNG THỨC","","C.LỆCH","",""
"","B1.","TỔNG TRỌNG LƯỢNG PT TRƯỚC PK","","","","","209.880","","","","","","","144.810","","","","",""
"","B2.","TỔNG TRỌNG LƯỢNG PT SAU CÁN DÁT MỎNG","","","","","0.000","(209.88gr -0gr )","","209.880","","","","0.000","(144.81gr -0gr )","","144.810","",""
"","B3.","TỔNG TRỌNG LƯỢNG SAU KẾT TỦA","","","","","0.000","(0gr -0gr )","","0.000","","","","0.000","(0gr -0gr )","","0.000","",""
"","","TỔNG CHÊNH LỆCH TL CÂN","","","","","","","","209.88","","","","","","","144.81","",""
"","5.2. CHÊNH LỆCH TĂNG GIẢM TUỔI PT QUY 99.99%  (B1) - (B4)","","","","","","Trọng lượng Pt (gram)","","Trọng lượng Pd (gram)","","","","","Trọng lượng Pt (gram)","","Trọng lượng Pd (gram)","","",""
"","B1.","TỔNG TRỌNG LƯỢNG PT QUI 99.99% TRƯỚC PK","","","","","","189.529","","0.000","","","","","189.753","","0.000","",""
"","B4.","TỔNG TRỌNG LƯỢNG PT QUI 99.99% SAU PK","","","","","","0.000","","0.000","","","","","0.000","","0.000","",""
"","TỔNG CHÊNH LỆCH TL NL SAU PK QUY 99.99%","","","","","","189.529","","0.000","","","","","189.753","","0.000","","",""
"","5.3. TỔNG CHÊNH LỆCH = (5.1) + (5.2)

   - Chênh lệch (+) thiếu       - Chênh lệch (-) dư        ","","","","","","(189.529gr  + 0gr )","","","","","","","(189.753gr  + 0gr )","","","","",""
"","","","","","","","189.529","","","","","","","189.753","","","","",""
"","","","","","","","(189.529gr  / 189.529gr )","","","","","","","(189.753gr  / 189.753gr )","","","","",""
"","","","","","","","100.00%","","","","","","","100.00%","","","","0.00%","0.00%"
"","","","","","","","","","","","","","","","","","","",""
"","* ","Kết luận :  Kết quả hao hụt phân kim PT hiện chưa chính xác và khách quan, do bộ phận kỹ thuật chưa thực hiện test tuổi Pt trước và sau phân kim cùng 1 nguồn test tuổi, nên không thể đánh giá được.","","","","","","","","","","","","","","","","",""
"","-"," Đối với PT trước PK :","","","","Kết quả test tuổi PT Tiệm Tài cao hơn kết quả test tuổi HP :","","","","","","","","0.12%","","","","",""
"","-"," Đối với PT sau PK (99% - 99.99%) :","","","","","","","","","","","","","","","","",""
"","-","Kết quả hao hụt PT khi thực hiện PK  :","","","","Hao hụt PT PK theo KQ test tuổi Tiệm Tài thấp hơn hao hụt PT PK theo kết quả test tuổi HP :","","","","","","","","0.00%","","","","",""
"","","Cụ thể :","Kết quả test tuổi Pt trước phân kim : Thực hiện test tuổi Tiệm Tài.","","","","","","","","","","","","","","","",""
"","","","Kết quả test tuổi Pt sau phân kim : Thực hiện test tuổi tại máy công ty.","","","","","","","","","","","","","","","",""
"",""," * Hao hụt trọng lượng bạc thử nghiệm PK lần 1 : 208.86 gr - 182.92 gr = 25.94 gr","","","","","","","","","","","","","","","","",""
