"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Vàng Cty gởi phân kim (Cty cân - đo tuổi)","","","","","","","","","","","","","","","","","","","","","","","",""
"","TT","Loại vàng","Tr.lượng cân (g)","Tuổi vàng đo","Quy 24K giao (g)","Quy 24K giao (L)","","","","","","","","","","","","","","","","","","",""
"","3","18K","  70.65 ","75.44%","  53.30 ","  1.4214 ","  70.64 ","74.91%","-0.53%","  52.92 ","  1.4112 ","  (0.38)","-0.72%","0.3%","74.61%","  52.71 ","  1.4056 ","  0.594 ","  0.016 ","1.11%","1.37%","  0.730 ","  0.019 ","  (0.004)","-0.26%"
"","4","18K","  326.67 ","74.20%","  242.41 ","  6.4644 ","  326.19 ","74.83%","","  244.11 ","  6.5097 ","  1.70 ","0.70%","0.3%","74.53%","  243.13 ","  6.4836 ","  (0.720)","  (0.019)","-0.30%","1.37%","  3.321 ","  0.089 ","  (0.108)","-1.67%"
"","4","18K","  84.47 ","75.16%","  63.49 ","  1.6932 ","  84.47 ","75.08%","","  63.43 ","  1.6914 ","  (0.07)","-0.11%","0.4%","74.68%","  63.09 ","  1.6824 ","  0.405 ","  0.011 ","0.64%","1.37%","  0.870 ","  0.023 ","  (0.012)","-0.73%"
"","4","14K","  6.85 ","58.94%","  4.04 ","  0.1077 ","  6.82 ","59.15%","","  4.03 ","  0.1076 ","  (0.00)","-0.08%","0.3%","58.85%","  4.01 ","  0.1070 ","  0.024 ","  0.001 ","0.59%","1.37%","  0.055 ","  0.001 ","  (0.001)","-0.78%"
"","4","18K","  31.35 ","74.90%","  23.48 ","  0.6262 ","  31.35 ","75.00%","","  23.51 ","  0.6271 ","  0.03 ","0.13%","0.3%","74.70%","  23.42 ","  0.6246 ","  0.063 ","  0.002 ","0.27%","1.37%","  0.322 ","  0.009 ","  (0.007)","-1.10%"
"","4","18K","  13.37 ","74.41%","  9.95 ","  0.2653 ","  13.37 ","75.00%","","  10.03 ","  0.2674 ","  0.08 ","0.79%","0.3%","74.70%","  9.99 ","  0.2664 ","  (0.039)","  (0.001)","-0.39%","1.37%","  0.136 ","  0.004 ","  (0.005)","-1.76%"
"","","","","","","","","","","  - ","  - ","  - ","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","  - ",""
"","","Cộng","  1,533.67 ","","  1,128.85 ","  30.1028 ","  1,533.12 ","","","  1,122.22 ","  29.9258 ","  (6.64)","-0.59%","Cộng","","  1,117.46 ","  29.7989 ","  11.396 ","  0.304 ","1.01%","","  15.465 ","  0.412 ","  (0.109)","-0.36%"
"","","* Ghi chú : Cty Đô Thị Vàng nấu và đo tuổi lại","","","","","","","","","","","","","","","",""," * Tỉ lệ hao hụt phí PK của DTV thấp hơn tỉ lệ hao hụt phí PK do HP thực hiện  (1.37%):","","","","","","-0.36%"
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","0","","","","","","","","","","","","","","","","","","","","",""
"","","","","0","","","","","","","","","","","","","","","","","","","","",""
"","A/ KẾT QUẢ PHÂN KIM THEO BÁO CÁO THỊNH THỰC HIỆN : MÁY TEST TUỔI HP","","","","","","","","","","","","","","","","","","","","","","","",""
"","B/ KẾT QUẢ PHÂN KIM THEO BÁO CÁO KCP THỰC HIỆN : BÌNH QUÂN KẾT QUẢ TEST TUỔI HP & KẾT QUẢ TEST TUỔI TIỆM TÀI","","","","","","","","","","","","","","","","","","","","","","","",""
"","TT","Loại vàng","Trọng lượng giao PK - KQ test tuổi : HP & T.Tài (KCP)","","","","Trọng lượng giao PK - KQ test tuổi : DTV","","","","","","","Kết quả thu hồi sau PK","","","","Tổng chênh lệch hao hụt PK","","","","","","",""
"","","","Trọng lượng
(gr)","Tuổi vàng","Quy 24K
(gr)","Quy 24K
(L)","Trọng lượng
(gr)","Tuổi vàng","Chênh lệch hạ tuổi","Quy 24K
(gr)","Quy 24K
(L)","Chênh lệch TL 24K (gr)","Tì lệ CL TL nhận PK giữa HP & DTV","Phí phân kim","Tuổi vàng sau trừ phí PK","Trọng lượng 24K (gr)","Trọng lượng 24K (L)","Tr.lượng 24K hao phí (gr)","Tr.lượng 24K hao phí (L)","Tỷ lệ hao phí / vàng 24K","","","","",""
"","","","A","B","C =A*B/99.99%","D=C/37.5","E","F","(*)=F-B","G =E *F/99.99%","H = G/ 37.5","I=G-C","J=I/C","K","L= F-K","M =E*L/ 99.99%","N =M/ 37.5","O = C - M","P = D -N","Q = O/C","","","","",""
"","1","18K","  284.31 ","75.30%","  214.11 ","  5.7095 ","  284.29 ","74.68%","-0.62%","  212.33 ","  5.6621 ","  (1.78)","-0.83%","0.3%","74.38%","  211.48 ","  5.6394 ","  2.63 ","  0.0702 ","1.23%","","","","",""
"","1","18K","  429.90 ","75.26%","  323.58 ","  8.6287 ","  429.92 ","74.76%","-0.50%","  321.44 ","  8.5717 ","  (2.13)","-0.66%","0.3%","74.46%","  320.15 ","  8.5373 ","  3.42 ","  0.0913 ","1.06%","","","","",""
"","2","14K","  141.83 ","59.25%","  84.04 ","  2.2411 ","  141.81 ","58.50%","-0.75%","  82.97 ","  2.2125 ","  (1.08)","-1.28%","0.3%","58.20%","  82.54 ","  2.2011 ","  1.50 ","  0.0400 ","1.79%","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Cộng","  856.04 ","","  621.72 ","  16.5793 ","  856.02 ","","","  616.74 ","  16.4463 ","  (4.99)","-0.80%","Cộng","","  614.17 ","  16.3778 ","  7.56 ","  0.2015 ","1.22%","","","","",""
"","","","","","","","","","","","","",""," * Tỉ lệ hao hụt phí PK của DTV thấp hơn tỉ lệ hao hụt phí PK do HP thực hiện  (1.37%): ","","","","","","-0.15%","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"",""," * Kết luận : Kết quả tính toán hiệu quả phân kim của bảng B phù hợp hơn, do kết quả test tuổi là kết quả bình quân thực hiện giữa cty HP và Tiệm Tài. Theo kết quả Bảng B, thực hiện PK tại DTV hiệu quả hơn PK tại HP (Giảm 0.15%)","","","","","","","","","","","","","","","","","","","","","","",""
