"","DANH MỤC DÂY ĐAN","","","","","","","","","",""
"","","","","","","","","","","",""
"Loại dây","Mã sản phẩm","Loại vàng","Size chỉ","Tên sản phẩm","Trọng lượng","","","","","PO","Deadline"
"","CY50HE-610Y","610Y","50","Dây mì dẹp trơn size 50, 610Y","7.58","","","","","",""
"","CY60HE-610Y","610Y","60","Dây mì dẹp trơn size 60, 610Y","8.56","","","","","",""
"","CW30HE-610W","610W","30","Dây mì dẹp trơn size 30, 610W","","","","","","",""
"","CW35HE-610W","610W","35","Dây mì dẹp trơn size 35, 610W","","","","","","",""
"","CW40HE-610W","610W","40","Dây mì dẹp trơn size 40, 610W","","","","","","",""
"","CW50HE-610W","610W","50","Dây mì dẹp trơn size 50, 610W","1.08","","","","","",""
"D. Dây Franco vuông","CY30FS-750Y","750Y","30","Dây Franco vuông size 30, 750Y","","","","","","",""
"C","CY35FS-750Y","750Y","35","Dây Franco vuông size 35, 750Y","","","","","","",""
"FS","CY40FS-750Y","750Y","40","Dây Franco vuông size 40, 750Y","","","","","","",""
"","CY50FS-750Y","750Y","50","Dây Franco vuông size 50, 750Y","","","","","","",""
"","CY70FS-750Y","750Y","70","Dây Franco vuông size 70, 750Y","19.85","","","","","",""
"","CW30FS-750W","750W","30","Dây Franco vuông size 30, 750W","3.10","","","","","",""
"","CW35FS-750W","750W","35","Dây Franco vuông size 35, 750W","","","","","","",""
"","CW40FS-750W","750W","40","Dây Franco vuông size 40, 750W","6.75","","","","","",""
"","CW50FS-750W","750W","50","Dây Franco vuông size 50, 750W","9.50","","","","","",""
"","CY30FS-610Y","610Y","30","Dây Franco vuông size 30, 610Y","2.90","","","","","",""
"","CY35FS-610Y","610Y","35","Dây Franco vuông size 35, 610Y","","","","","","",""
"","CY40FS-610Y","610Y","40","Dây Franco vuông size 40, 610Y","11.20","","","","","",""
"","CY60FS-610Y","610Y","60","Dây Franco vuông size 60, 610Y","12.66","","","","","",""
"","CY50FS-610Y","610Y","50","Dây Franco vuông size 50, 610Y","10.88","","","","","",""
"","CW30FS-610W","610W","30","Dây Franco vuông size 30, 610W","3.10","","","","","",""
"","CW35FS-610W","610W","35","Dây Franco vuông size 35, 610W","","","","","","",""
"","CW40FS-610W","610W","40","Dây Franco vuông size 40, 610W","","","","","","",""
"","CW50FS-610W","610W","50","Dây Franco vuông size 50, 610W","","","","","","",""
"E. Dây bi","B2.5, 750Y","750Y","2.5","Bi 2.5, 750Y","0.08","","","","","",""
"","B2.0, 750W","750W","2.0","Bi 2.0, 750W","0.05","","","","","",""
"","B2.0, 750R","750R","2","Bi 2.0, 750R","0.05","","","","","",""
"","B2.0, 750Y","750Y","2","Bi 2.0, 750Y","0.05","","","","","",""
"","B3.0, 750R","750Y","3.0","Bi 3.0, 750Y","0.10","","","","","",""
"","B3.0, 750Y","750Y","3.0","Bi 3.0, 750Y","0.10","","","","","",""
"","B4.0, 750Y","750Y","4.0","Bi 4.0, 750Y","0.21","","","","","",""
"","B4.0, 750R","750R","4.0","Bi 4.0, 750R","0.21","","","","","",""
"","B5.0, 750Y","750Y","5.0","Bi 5.0, 750Y","0.29","","","","","",""
"","B6.0, 750Y","750Y","6.0","Bi 6.0, 750Y","0.47","","","","","",""
"","B7.0, 750Y","750Y","7.0","Bi 7.0, 750Y","","","","","","",""
"","B8.0, 750Y","750Y","8.0","Bi 8.0, 750Y","0.21","","","","","",""
"","B2.5, 750W","750W","2.5","Bi 2.5, 750W","0.08","","","","","",""
"","B3.0, 750W","750W","3.0","Bi 3.0, 750W","0.10","","","","","",""
"","B4.0, 750W","750W","4.0","Bi 4.0, 750W","0.21","","","","","",""
"","B5.0, 750W","750W","5.0","Bi 5.0, 750W","0.45","","","","","",""
"","B6.0, 750W","750W","6.0","Bi 6.0, 750W","0.57","","","","","",""
"","B7.0, 750W","750W","7.0","Bi 7.0, 750W","","","","","","",""
"","B8.0, 750W","750W","8.0","Bi 8.0, 750W","","","","","","",""
"","B2.5, 610Y","610Y","2.5","Bi 2.5, 610Y","0.08","","","","","",""
"","B3.0, 610Y","610Y","3.0","Bi 3.0, 610Y","0.11","","","","","",""
"","B4.0, 610Y","610Y","4.0","Bi 4.0, 610Y","0.15","","","","","",""
"","B5.0, 610Y","610Y","5.0","Bi 5.0, 610Y","","","","","","",""
