"A.","BÁO CÁO QUẢN TRỊ NGUYÊN VẬT LIỆU PT ĐỊNH KỲ QUÝ - NĂM 2026","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"STT","DIỄN GIẢI","QUÝ I","","","QUÝ II","","","QUÝ III","","","QUÝ IV","","","LŨY KẾ NĂM 2026","","","NHẬN XÉT, ĐÁNH GIÁ"
"","","Trọng lượng
(Quy 9999)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 9999)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 9999)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 9999)","Quy Lượng","Tỉ lệ % cơ cấu","Trọng lượng
(Quy 9999)","Quy Lượng","Tỉ lệ % cơ cấu",""
"III.10","Phụ kiện xuất chuyển giao công đoạn","211.59","5.64","5.13%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","211.59","5.64","5.02%",""
"III.11","Phụ kiện xuất L2","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%",""
"III.12","Phụ kiện xuất kho Tổng","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%",""
"III.13","Thành phẩm xuất chuyển giao công đoạn","272.07","7.26","6.60%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","272.07","7.26","6.46%",""
"III.14","Thành phâm xuất kho Tổng","271.85","7.25","6.60%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","271.85","7.25","6.45%",""
"III.15","Xuất sản phẩm bảo hành","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%",""
"IV. TỒN CUỐI KÌ","","908.88","24.237","","831.03","22.161","","831.03","22.161","","831.03","22.161","","831.03","22.161","",""
"IV.1","Nguyên liệu tồn cuối kì","828.20","22.09","91.12%","750.34","20.01","90.29%","750.34","20.01","90.29%","750.34","20.01","90.29%","750.34","20.01","90.29%",""
"IV.2","Bán thành phẩm dây tồn cuối kì","0.04","0.00","0.00%","0.04","0.00","0.00%","0.04","0.00","0.00%","0.04","0.00","0.00%","0.04","0.00","0.00%",""
"IV.3","Bán thành phẩm bi tồn cuối kì","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%",""
"IV.4","Phụ kiện tồn cuối kì","80.63","2.15","8.87%","80.63","2.15","9.70%","80.63","2.15","9.70%","80.63","2.15","9.70%","80.63","2.15","9.70%",""
"IV.5","Thành phẩm tồn cuối kì","0.02","0.00","0.00%","0.02","0.00","0.00%","0.02","0.00","0.00%","0.02","0.00","0.00%","0.02","0.00","0.00%",""
"IV.6","Sản phẩm bảo hành tồn cuối kì","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%","0.00","0.00","0.00%",""
