"37","TP15K","Thành phẩm 15K","61.00%","74.86","1.22","74.65","1.21","149.61","2.43","-0.1","0.00"
"38","TP24K","Thành phẩm 24K","99.99%","0","0.00","0","0.00","0","0.00","0","0.00"
"39","TP17K","Thành phẩm 17K","70.80%","0","0.00","0","0.00","0","0.00","0","0.00"
"40","TP10K","Thành phẩm 10K","41.60%","","0.00","1294.71","14.36","1286.65","14.27","8.06","0.09"
"THÀNH PHẨM VÀNG","","","","292.5","5.57","5026.52","88.25","5129.18","90.09","189.84","3.73"
"B. NGUYÊN VẬT LIỆU BẠC:","","","","2985.1","75.75","42897.95","1067.45","41297.45","1028.73","4585.6","114.46"
"41","BACNTO","Nguyên liệu Bạc NTO","99.99%","4.48","0.12","0","0.00","2.12","0.06","2.36","0.06"
"42","NLBAC9999","Nguyên liệu bạc 99.99","99.99%","1049.86","28.00","3723.27","99.29","4715.14","125.74","57.99","1.55"
"43","NLBAC999","Nguyên liệu bạc 999","99.90%","0","0.00","0","0.00","0","0.00","0","0.00"
"44","NLBAC950","Nguyên liệu bạc 950","95.00%","0","0.00","2629.73","66.63","808.47","20.48","1821.26","46.14"
"45","NLBAC92.5","Nguyên liệu bạc 92.5","92.50%","725.69","17.90","24752.28","610.62","25225.99","622.30","251.98","6.22"
"46","BOTBAC92.5","Nguyên liệu bột bạc 92.5","92.50%","364.55","8.99","252.19","6.22","464.32","11.45","152.42","3.76"
"47","VAYHANBAC92.5","Vảy hàn bạc 92.5","92.50%","8.7","0.21","0","0.00","0","0.00","8.7","0.21"
"NGUYÊN LIỆU BẠC","","","","2153.28","55.23","31357.47","782.75","31216.04","780.03","2294.71","57.94"
"48","BTPBIBAC92.5","Bán thành phẩm bi bạc 92.5","92.50%","287.68","7.10","351.29","8.67","466.11","11.50","172.86","4.26"
"50","BTPDAYBAC92.5","Bán thành phẩm dây bạc 92.5","92.50%","215.88","5.33","6384.49","157.50","5966.29","147.18","634.08","15.64"
"BÁN THÀNH PHẨM BẠC","","","","503.56","12.42","6735.78","166.17","6432.4","158.68","806.94","19.91"
"49","PKBAC92.5","Phụ kiện bạc 92.5","92.50%","140.24","3.46","1207.34","29.78","1153.19","28.45","194.39","4.80"
"PHỤ KIỆN BẠC","","","","140.24","3.46","1207.34","29.78","1153.19","28.45","194.39","4.80"
"51","TPBAC92.5","Thành phẩm dây bạc 92.5","92.50%","188.02","4.64","3597.36","88.74","2495.82","61.57","1289.56","31.81"
"THÀNH PHẨM BẠC","","","","188.02","4.64","3597.36","88.74","2495.82","61.57","1289.56","31.81"
"C. NGUYÊN VẬT LIỆU PT:","","","","1282.88","31.17","4305.68","103.35","4669.44","112.36","919.12","22.16"
"52","NLPT900","PT90","90.00%","50.05","1.20","0","0.00","0","0.00","50.05","1.20"
"53","NLPT950","PT95","95.00%","-","0.00","0","0.00","0","0.00","-","0.00"
"54","NLPT999"," PT999","99.90%","-","0.00","0","0.00","0","0.00","-","0.00"
"55","NLPT9999"," PT9999","99.99%","-","0.00","0","0.00","0","0.00","-","0.00"
"56","NLPT99"," PT99","99.00%","144.65","3.82","0","0.00","116.34","3.07","28.31","0.75"
"57","NLPT900-PD","PT90-PD","90.00%","318.35","7.64","2041.21","48.99","2164.64","51.96","194.92","4.68"
"58","NLPT950-PD","PT95-PD","95.00%","-","0.00","0","0.00","0","0.00","-","0.00"
"59","NLPTPK","PT-PK","90.00%","526.96","12.65","0","0.00","0","0.00","526.96","12.65"
"60","BOTPT900-PD","Bột PT90-PD","90.00%","4.35","0.10","37.6","0.90","15.11","0.36","26.84","0.64"
"61","BOTPT900","Bột PT90","90.00%","3.72","0.09","0","0.00","0","0.00","3.72","0.09"
"NGUYÊN LIỆU PT","","","","1048.08","25.50","2078.81","49.90","2296.09","55.39","830.80","20.01"
"62","PKPT900","Phụ kiện PT90","90.00%","13.55","0.33","0","0.00","0","0.00","13.55","0.33"
"63","PKPT900-PD","Phụ kiện PT90-PD","90.00%","77.71","1.87","208.36","5.00","235.08","5.64","50.99","1.22"
"64","PKPT950-PD","Phụ kiện PT95-PD","95.00%","23.72","0.60","0","0.00","0","0.00","23.72","0.60"
"65","PKPT950","Phụ kiện PT95","95.00%","-","0.00","0","0.00","0","0.00","-","0.00"
"PHỤ KIỆN PT","","","","114.98","2.79","208.36","5.00","235.08","5.64","88.26","2.15"
"66","BTPDAYPT900","BTP Dây PT90","90.00%","-","0.00","0","0.00","0","0.00","-","0.00"
"67","BTPDAYPT900-PD","BTP Dây PT90-PD","90.00%","119.80","2.88","1414.21","33.94","1533.97","36.82","0.04","0.00"
"68","BTPDAYPT950-PD","BTP Dây PT95-PD","95.00%","-","0.00","0","0.00","0","0.00","-","0.00"
"69","BTPDAYPT950","BTP Dây PT95","95.00%","-","0.00","0","0.00","0","0.00","-","0.00"
"BÁN THÀNH PHẨM PT","","","","119.80","2.88","1414.21","33.94","1533.97","36.82","0.04","0.00"
"70","TPPT900","TP Dây PT90","90.00%","-","0.00","0","0.00","0","0.00","-","0.00"
"71","TPPT900-PD","TP Dây PT90-PD","90.00%","0.02","0.00","604.3","14.50","604.3","14.50","0.02","0.00"
"72","TPPT950-PD","TP Dây PT95-PD","95.00%","-","0.00","0","0.00","0","0.00","-","0.00"
"73","TPPT970-PD","TP Dây PT97-PD","97.00%","-","0.00","0","0.00","0","0.00","-","0.00"
"THÀNH PHẨM PT","","","","0.02","0.00","604.30","14.50","604.30","14.50","0.02","0.00"
