"[AGVN-KT409]- BÁO CÁO TỔNG HỢP NHẬP XUẤT TỒN NGUYÊN VẬT LIỆU  -  QUÝ I/2026","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STT","MÃ NL","TÊN NGUYÊN LIỆU","TUỔI ","TỒN ĐẦU KÌ","","THÁNG 01","","","","","","THÁNG 02","","","","","","THÁNG 03","","","","","","QUÝ I/2026","","","","TỒN CUỐI KÌ",""
"19","VAYHAN15K","Vảy hàn 15K","61.00%","6.07","0.10","-","-","-","-","6.07","0.10","-","-","-","-","6.07","0.10","-","-","-","-","6.07","0.10","-","-","-","-","6.07","0.10"
"A.1","NGUYÊN LIỆU AU","","","553.66","11.76","11503.03","162.85","11529.30","167.19","527.39","7.42","264.19","6.63","697.72","12.21","93.86","1.83","-","-","-","-","93.86","1.83","11767.22","169.48","12227.02","179.41","93.86","1.83"
"20","PK24K","Phụ kiện 24K","99.99%","0.67","0.02","-","-","-","-","0.67","0.02","-","-","-","-","0.67","0.02","-","-","-","-","0.67","0.02","-","-","-","-","0.67","0.02"
"21","PK18K","Phụ kiện 18K","75.00%","144.13","2.88","155.62","3.11","188.26","3.77","111.49","2.23","1.37","0.03","-","-","112.86","2.26","-","-","-","-","112.86","2.26","156.99","3.14","188.26","3.77","112.86","2.26"
"22","PK16K","Phụ kiện 16K","68.00%","137.86","2.50","149.72","2.72","165.47","3.00","122.11","2.21","-","-","-","-","122.11","2.21","-","-","-","-","122.11","2.21","149.72","2.72","165.47","3.00","122.11","2.21"
"23","PK15K","Phụ kiện 15K","61.00%","162.09","2.64","34.23","0.56","68.65","1.12","127.67","2.08","-","-","-","-","127.67","2.08","-","-","-","-","127.67","2.08","34.23","0.56","68.65","1.12","127.67","2.08"
"24","PK10K","Phụ kiện 10K","41.60%","37.90","0.42","628.73","6.98","586.90","6.51","79.73","0.88","-","-","-","-","79.73","0.88","-","-","-","-","79.73","0.88","628.73","6.98","586.90","6.51","79.73","0.88"
"A.2","PHỤ KIỆN AU","","","482.65","8.46","968.30","13.36","1009.28","14.39","441.67","7.42","1.37","0.03","-","-","443.04","7.45","-","-","-","-","443.04","7.45","969.67","13.39","1009.28","14.39","443.04","7.45"
"25","BTPBI18K","BTP bi 18K","75.00%","215.99","4.32","58.73","1.17","183.77","3.68","90.95","1.82","32.50","0.65","17.99","0.36","105.46","2.11","-","-","9.03","0.18","96.43","1.93","91.23","1.82","210.79","4.22","96.43","1.93"
"26","BTPBI16K","BTP bi 16K","68.00%","89.01","1.61","-","-","4.60","0.08","84.41","1.53","-","-","-","-","84.41","1.53","-","-","-","-","84.41","1.53","-","-","4.60","0.08","84.41","1.53"
