"[AGVN-KO313]-BẢNG KÊ HÀNG HÓA TỒN KHO KÊNH SỈ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"STT","NGÀY XUẤT KHO","NGÀY TỒN","PO","MÃ MẪU","SKU","THÔNG TIN SP","TUỔI VÀNG ","LOẠI
 VÀNG","SL","TL 1SP 
(gr)","TL TỔNG 
(gr)"," TL TỔNG 
(chỉ) ","TỒN"," Giá công "," Giá công tổng ","Hao lai","TL TỔNG QUY 24K (chỉ)"
"(1)","","(2)","(3)","(4)","-5","(6)","","(8)","(9)","(10)","(11)"," (12)=(11)/3.75 ","(13)","  (14)","","(15)=(12)*1%","(16)=(12)*(7)/99.99%"
"511","16/12/2025","09/07/2026","[DHAG-25/12/01]","BW70FS","30000792","18KW: LAC FRANCO VUONG 27.77GR BW70FS, SIZE:16-17","75.00%","750W","3","7.037","21.110","5.629","  5.629 c ","350,000","1,050,000","0.056","4.222"
"521","","09/07/2026","[DHAG-25/12/07]","CW40CA4","30000775","15KW: DAY CONG KHE 24.89GR CW40CA4,SIZE:43-45","61.00%","610W","6","2.068","12.410","3.309","  3.309 c ","160,000","960,000","0.033","2.019"
"522","","09/07/2026","[DHAG-25/12/07]","CW50CA4","30000776","15KW: DAY CONG KHE 29.17GR CW50CA4,SIZE:43-45","61.00%","610W","3","3.631","10.893","2.905","  2.905 c ","180,000","540,000","0.029","1.772"
"523","","09/07/2026","[DHAG-25/12/07]","CW60CA4","30000777","15KW: DAY CONG KHE 29,37GR CW60CA4,SIZE:43-45","61.00%","610W","3","4.806","14.419","3.845","  3.845 c ","220,000","660,000","0.038","2.346"
"536","","09/07/2026","Chào Hàng","GBW4568-01-TT","30000822","18KW: VONG BI KHAC XOAY - CHU S GBW4568 26.78GR, SIZE:52","75.00%","750W","3","8.927","26.780","7.141","  7.141 c ","490,000","1,470,000","0.071","5.357"
"537","","09/07/2026","Chào Hàng","GBW346-01","30000823","18KW: VONG BI KHAC XOAY - CHU S GBW346 15.75GR, SIZE:50-52","75.00%","750W","2","7.875","15.750","4.200","  4.200 c ","460,000","920,000","0.042","3.150"
"539","","09/07/2026","[DHAG-25/12/08]","CY30SS","30000816","16KY: DAY MI VUONG 50.57GR CY30SS,SIZE: 45-50","68.00%","680Y","13","3.890","50.570","13.485","  13.485 c ","100,000","1,300,000","0.135","9.171"
"540","","09/07/2026","[DHAG-25/12/08]","CY40CA4","30000818","16KY: DAY CONG KHE 22.43GR CY40CA4,SIZE: 36-38","68.00%","680Y","10","2.243","22.430","5.981","  5.981 c ","80,000","800,000","0.060","4.068"
"541","","09/07/2026","[DHAG-25/12/09]","CY30SS","30000817","16KY: DAY MI VUONG 25.50GR CY30SS,SIZE: 42-45","68.00%","680Y","7","3.643","25.500","6.800","  6.800 c ","100,000","700,000","0.068","4.624"
"542","","09/07/2026","[DHAG-25/12/09]","CY40CA4","30000819","16KY: DAY CONG KHE 25.78GR CY40CA4,SIZE: 42-45","68.00%","680Y","10","2.578","25.780","6.875","  6.875 c ","80,000","800,000","0.069","4.675"
