"CÔNG TY TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
" [AGVN-C3112] - BÁO CÁO NHẬP XUẤT TỒN KHO NGUYÊN VẬT LIỆU","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Từ ngày:","31/12/2024","","Đến ngày:","07/01/2025","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","0.00","","","-19741.43","","","-19529.74","","","","","","0.00","","","","","","","",""
"MÃ HÀNG","TÊN HÀNG HÓA","LOẠI 
VÀNG","TUỔI
 VÀNG","TỒN ĐẦU KỲ","","","NHẬP TRONG KỲ","","","XUẤT TRONG KỲ","","","TỒN CUỐI KỲ SỔ SÁCH","","","TỒN CUỐI KỲ THỰC TẾ","","","CHÊNH LỆCH","","GHI CHÚ","","",""
"","","","","TL
"f. Dây mì","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"DDMD30750W","Bán thành phẩm dây mì dẹp 750W, size 0.30mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"DDMD35750W","Bán thành phẩm dây mì dẹp vàng 750W, size 0.30mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"DDMX30750W","Bán thành phẩm dây mì dẹp xoắn vàng 750W, size 0.30mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","Lệch cân","","",""
"DDMX35750W","Bán thành phẩm dây mì dẹp xoắn vàng 750W, size 0.35mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","Lệch cân","","",""
"DDMD40750W","Bán thành phẩm dây mì dẹp vàng 750W, size 0.40mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"DDMX40750W","Bán thành phẩm dây mì dẹp xoắn 750W, size 0.40mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"DDMD60750W","Bán thành phẩm dây mì dẹp 750W, size 0.60mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"DDMX60750W","Bán thành phẩm dây mì dẹp xoắn 750W, size 0.60mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"2. Vàng 18KY","","","","0.00","0.00","0.00","192.00","144.00","3.84","187.13","140.35","3.74","4.87","3.65","0.10","0.00","0.00","0.00","19.97","14.98","","","",""
"a. Dây chữ cong","","","","0.00","0.00","0.00","39.99","29.99","0.80","35.12","26.34","0.70","4.87","3.65","0.10","0.00","0.00","0.00","0.00","0.00","","","",""
"DDC25750Y","Bán thành phẩm Dây chữ cong vàng 750Y, size 0.25mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","15.10","11.33","0.30","-15.10","-11.33","-0.30","","","","","","","","",""
"DDC30750Y","Bán thành phẩm dây cong vàng 18KY, size 0.30mm","18K","75.00%","0.00","0.00","0.00","39.99","29.99","0.80","20.02","15.02","0.40","19.97","14.98","0.40","0.00","0.00","0.00","19.97","14.98","","","",""
"DDC35750Y","Bán thành phẩm dây cong vàng 18KY, size 0.35mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC40750Y","Bán thành phẩm dây cong vàng 18KV, size 0.40mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC50750Y","Bán thành phẩm dây cong vàng 18KV, size 0.50mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC60750Y","Bán thành phẩm dây cong vàng 18KV, size 0.60mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC70750Y","Bán thành phẩm dây cong vàng 18KV, size 0.70mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"b. Dây khoen lật","","","","0.00","0.00","0.00","152.01","114.01","3.04","152.01","114.01","3.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","",""
"DDL30750Y","Bán thành phẩm dây lật vàng 18KV, size 0.30mm","18K","75.00%","0.00","0.00","0.00","152.01","114.01","3.04","152.01","114.01","3.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","",""
"DDL40750Y","Bán thành phẩm dây lật vàng 18KV, size 0.40mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDL50750Y","Bán thành phẩm dây lật vàng 18KV, size 0.50mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDL60750Y","Bán thành phẩm dây lật vàng 18KV, size 0.60mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDL70750Y","Bán thành phẩm dây khoen lật vàng 750VY size 0.70mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"c. Dây Franco","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDFV70750Y","Bán thành phẩm dây Franco vuông 750Y, size 0.70mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"f. Dây mì","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","",""
"DDMX30750Y","Bán thành phẩm dây mì dẹp xoắn vàng 750Y, size 0.30mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"DDMX35750Y","Bán thành phẩm dây mì dẹp xoắn vàng 750Y, size 0.35mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"3. Vàng 18KR","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"a. Dây chữ cong","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC30750R","Bán thành phẩm dây chữ cong 18KR, size 0.3mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC45750R","Bán thành phẩm dây cong vàng 18KH, size 0.45mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"d. Dây mì dẹp","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDMD60750Y","Bán thành phẩm dây mì dẹp vàng 750Y, size 0.60mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"4. Vàng 610Y","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"a. Dây chữ cong","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC30610Y","Bán thành phẩm dây cong vàng 610Y, size 0.30mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC35610Y","Bán thành phẩm dây cong vàng 610Y, size 0.35mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC40610Y","Bán thành phẩm dây cong vàng 610Y, size 0.40mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC50610Y","Bán thành phẩm Dây chữ cong 610Y, size 0.5mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC80610Y","Bán thành phẩm dây cong vàng 610Y, size 0.80mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"b. Dây khoen lật","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDL30610Y","Bán thành phẩm dây khoen lật vàng 610Y, size 0.30mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDL35610Y","Bán thành phẩm dây khoen lật vàng 610Y, size 0.35mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"DDL50610Y","Bán thành phẩm dây khoen lật vàng 610Y, size 0.50mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Lệch cân","","","Đóng dòng"
"DDL60610Y","Bán thành phẩm dây khoen lật vàng 610Y, size 0.60mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDL70610Y","Bán thành phẩm dây khoen lật vàng 610Y, size 0.70mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Lệch cân","","","Đóng dòng"
"c. Dây Franco","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDFV30610Y","Bán thành phẩm dây Franco vàng 610Y, size 0.30mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDFV40610Y","Bán thành phẩm Dây Franco vuông 610Y, size 0.4mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Lệch cân","","","Đóng dòng"
"DDFV50610Y","Bán thành phẩm Dây Franco vuông 610Y, size 0.5mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Lệch cân","","","Đóng dòng"
"DDFV60610Y","Bán thành phẩm Dây Franco vuông 610Y, size 0.6mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"e. Dây mì tròn","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDMX40610Y","Bán thành phẩm dây mì dẹp xoắn 610Y, size 0.40mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"DDMX50610Y","Bán thành phẩm dây mì dẹp xoắn vàng 610Y, size 0.50mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"DDMT40610Y","Bán thành phẩm dây mì tròn vàng 610Y, size 0.40mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"f. Dây mì dẹp","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDMD30610Y","Bán thành phẩm dây mì dẹp vàng 610Y, size 0.30mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDMD40610Y","Bán thành phẩm Dây mì dẹp trơn, size 0.4mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Lệch cân","","","Đóng dòng"
"DDMD50610Y","Bán thành phẩm dây mì dẹp 610Y, size 0.50mm","61K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"DDMD60610Y","Bán thành phẩm dây mì dẹp 0.6","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","Lệch cân","","",""
"DDMX60610Y","Bán thành phẩm dây mì xoắn 0.6","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","Lệch cân","","",""
"DDMX30610Y","Bán thành phẩm dây mì xoắn 0.3","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"4. Vàng 610W","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","X","","Đóng dòng"
"a. Dây chữ cong","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC30610W","Bán thành phẩm dây cong vàng 610W, size 0.30mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC35610W","Bán thành phẩm dây cong vàng 610W, size 0.35mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC40610W","Bán thành phẩm dây cong vàng 610W, size 0.40mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"b. Dây khoen lật","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDL25610W","Bán thành phẩm dây lật vàng 61KT, size 0.25mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDL30610W","Bán thành phẩm dây lật vàng 61KT, size 0.30mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDL40610W","Bán thành phẩm dây lật vàng 61KT, size 0.40mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDL50610W","Bán thành phẩm dây lật vàng 61KT, size 0.50mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"c. Dây Franco","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDFV30610W","Bán thành phẩm dây Franco vàng 610W, size 0.30mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDFV70610Y","Bán thành phẩm dây Franco vàng 610Y, size 0.70mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"A.2 TỔNG BÁN THÀNH PHẨM BI KHẮC","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"1. Vàng 18KW","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"a. Bi 2.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W20TR","Bán thành phẩm bi 2.0 vàng 18KT, bi trơn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W20CR","Bán thành phẩm bi 2.0 vàng 18KT, caro","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"B750W20XY","Bán thành phẩm bi 2.0 vàng 18KW, kiểu xoáy","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"b. Bi 2.5","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W25TR","Bán thành phẩm bi 2.5 vàng 18KT, bi trơn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W25XY","Bán thành phẩm bi 2.5 vàng 18KT, bi xoáy","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W25CC","Bán thành phẩm bi 2.5 vàng 18KT, bi chữ C","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"B750W25CR","Bán thành phẩm bi 2.5 vàng 18KT, kiểu caro","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"c. Bi 3.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W30TR","Bán thành phẩm bi 3.0 vàng 18KT, bi trơn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W30XY","Bán thành phẩm bi 3.0 vàng 18KT, bi xoáy","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W30CS","Bán thành phẩm bi 3.0 vàng 18KT, kiểu chữ S","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"B750W30CC","Bán thành phẩm bi 3.0 vàng 18KT, bi chữ C","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"B750W30CR","Bán thành phẩm bi 3.0 vàng 18KT, kiểu caro","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"d. Bi 4.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W40TR","Bán thành phẩm bi 4.0 vàng 18KT, bi trơn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W40XY","Bán thành phẩm bi 4.0 vàng 18KT, kiểu xoáy","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W40CN","Bán thành phẩm bi 4.0 vàng 18KT, bi ngang","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"B750W40CS","Bán thành phẩm bi 4.0 vàng 18KT, kiểu chữ S","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W40CR","Bán thành phẩm bi 4.0 vàng 18KT, kiểu chữ caro","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"e. Bi 5.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W50TR","Bán thành phẩm bi 5.0 vàng 18KT, bi trơn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W50XY","Bán thành phẩm bi 5.0 vàng 18KT, kiểu xoáy","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W50CR","Bán thành phẩm bi 5.0 vàng 18KT, kiểu caro","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"B750W50CM","Bán thành phẩm bi 5.0 vàng 18KT, kiểu M","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"f. Bi 6.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W60TR","Bán thành phẩm bi 6.0 vàng 18KT, bi trơn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W60XY","Bán thành phẩm bi 6.0 vàng 18KT, kiểu xoáy","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W60CN","Bán thành phẩm bi 6.0 vàng 18KT, kiểu cắt ngang","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"B750W60CR","Bán thành phẩm bi 6.0 vàng 18KT, kiểu caro","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W60CS","Bán thành phẩm bi 6.0 vàng 18KT, kiểu chữ S","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"2. Vàng 18KY","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"a. Bi 2.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y20TR","Bán thành phẩm bi 2.0 vàng 18KV, bi trơn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"B750Y20CR","Bán thành phẩm bi 2.0 vàng 18KV, bi caro","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"B750Y20XY","Bán thành phẩm bi 2.0 vàng 18KV, bi xoáy","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"a. Bi 2.5","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y25TR","Bán thành phẩm bi 2.5 vàng 18KV, bi trơn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
