"CÔNG TY TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
" [AGVN-C3112] - BÁO CÁO NHẬP XUẤT TỒN KHO NGUYÊN VẬT LIỆU","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Từ ngày:","31/12/2024","","Đến ngày:","07/01/2025","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","0.00","","","-19741.43","","","-19529.74","","","","","","0.00","","","","","","","",""
"MÃ HÀNG","TÊN HÀNG HÓA","LOẠI 
VÀNG","TUỔI
 VÀNG","TỒN ĐẦU KỲ","","","NHẬP TRONG KỲ","","","XUẤT TRONG KỲ","","","TỒN CUỐI KỲ SỔ SÁCH","","","TỒN CUỐI KỲ THỰC TẾ","","","CHÊNH LỆCH","","GHI CHÚ","","",""
"","","","","TL
"VUNSX610W","Vụn sản xuất vàng 610 trắng","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"VUNSX610Y","Vụn sản xuất vàng 610 vàng","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"VUNSX610R","Vụn sản xuất vàng 610 hồng","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"A4. Vẩy hàn","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"VH750Y","Nguyên liệu vảy hàn 18KV","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"VH610W","Nguyên liệu vảy hàn 610KT","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"VH610Y","Nguyên liệu vảy hàn 610KV","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"A5. Phụ kiện khóa","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"PK750WKT","Phụ kiện khóa tròn 18KT","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"PK750WKGN","Phụ kiện khóa giọt nước 18KT","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
