"Công ty TNHH ASIANA GOLD","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","DANH SÁCH BTP/SPHT KÝ GỬI KHO L3","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"MÃ THỢ","TÊN THỢ","NGÀY NHẬP KHO","LỆNH 
SẢN XUẤT","MÃ 
CÔNG ĐOẠN","MÃ 
HÀNG","TÊN HÀNG","LOẠI 
VÀNG","TRỌNG LƯỢNG
(Gr)","SỐ LƯỢNG
(Pcs)","GHI CHÚ","","",""
"","","","","","","","","","","","","",""
"","","27/09/2023","PO230902-750-D01","DAN","DAN18KV-0.50","Bán thành phẩm 18KV, size 0.50mm, công đoạn đan dây","18K","73.31","","","","",""
"TD002","Hồ Hữu Hà","TỔNG CỘNG","","","","","","0.00","0.00","","","",""
"TD003","Lê Văn Tùng","TỔNG CỘNG","","","","","","0.00","0.00","","","",""
"DANH SÁCH HÀNG KÝ GỬI THÁNG 10","","","","","","","","","","","","",""
"KT001","Nguyễn Hữu Khoa","TỔNG CỘNG","","","","","","0.00","0.00","","","",""
"","","#VALUE!","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"TD001","Bùi Văn Trung","TỔNG CỘNG","","","","","","0.00","0.00","","","",""
"","","#VALUE!","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"TD002","Hồ Hữu Hà","TỔNG CỘNG","","","","","","0.00","0.00","","","",""
"","","#VALUE!","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"TD003","Lê Văn Tùng","TỔNG CỘNG","","","","","","0.00","0.00","","","",""
"","","#VALUE!","","","","","","","","","","",""
