"BTPC14KV-0.40","Bán thành phẩm chỉ 14K vàng size 0.40mm","14K","58.30%"
"BTPC14KV-0.50","Bán thành phẩm chỉ 14K vàng size 0.50mm","14K","58.30%"
"BTPC14KH-0.25","Bán thành phẩm chỉ 14K hồng size 0.25mm","14K","58.30%"
"BTPC14KH-0.30","Bán thành phẩm chỉ 14K hồng size 0.30mm","14K","58.30%"
"BTPC14KH-0.35","Bán thành phẩm chỉ 14K hồng size 0.35mm","14K","58.30%"
"BTPC14KH-0.40","Bán thành phẩm chỉ 14K hồng size 0.40mm","14K","58.30%"
"BTPC14KH-0.50","Bán thành phẩm chỉ 14K hồng size 0.50mm","14K","58.30%"
"","","",""
"","","",""
"3. Vàng 18K","","",""
"BTPC18KT","Bán thành phẩm chỉ 18K trắng","18K","75.00%"
"BTPC18KV","Bán thành phẩm chỉ 18K vàng","18K","75.00%"
"BTPC18KH","Bán thành phẩm chỉ 18K hồng","18K","75.00%"
"BTPC18KT-0.25","Bán thành phẩm chỉ 18K trắng size 0.25mm","18K","75.00%"
"BTPC18KT-0.30","Bán thành phẩm chỉ 18K trắng size 0.30mm","18K","75.00%"
"BTPC18KT-0.35","Bán thành phẩm chỉ 18K  trắng size 0.35mm","18K","75.00%"
"BTPC18KT-0.40","Bán thành phẩm chỉ 18K  trắng size 0.40mm","18K","75.00%"
"BTPC18KT-0.50","Bán thành phẩm chỉ 18K trắng size 0.50mm","18K","75.00%"
"BTPC18KV-0.25","Bán thành phẩm chỉ 18K vàng size 0.25mm","18K","75.00%"
"BTPC18KV-0.30","Bán thành phẩm chỉ 18K vàng size 0.30mm","18K","75.00%"
"BTPC18KV-0.35","Bán thành phẩm chỉ 18K vàng size 0.35mm","18K","75.00%"
"BTPC18KV-0.40","Bán thành phẩm chỉ 18K vàng size 0.40mm","18K","75.00%"
"BTPC18KV-0.50","Bán thành phẩm chỉ 18K vàng size 0.50mm","18K","75.00%"
"BTPC18KH-0.25","Bán thành phẩm chỉ 18K hồng size 0.25mm","18K","75.00%"
"BTPC18KH-0.30","Bán thành phẩm chỉ 18K hồng size 0.30mm","18K","75.00%"
"BTPC18KH-0.35","Bán thành phẩm chỉ 18K hồng size 0.35mm","18K","75.00%"
"BTPC18KH-0.40","Bán thành phẩm chỉ 18K hồng size 0.40mm","18K","75.00%"
"BTPC18KH-0.50","Bán thành phẩm chỉ 18K hồng size 0.50mm","18K","75.00%"
"","","",""
"","","",""
"4. Vàng 24K","","",""
"BTPC24K","Bán thành phẩm chỉ 24K","24K","99.99%"
"BTPC24K-0.25","Bán thành phẩm chỉ 24K size 0.25mm","24K","99.99%"
"BTPC24K-0.30","Bán thành phẩm chỉ 24K size 0.30mm","24K","99.99%"
"BTPC24K-0.35","Bán thành phẩm chỉ 24K size 0.35mm","24K","99.99%"
"BTPC24K-0.40","Bán thành phẩm chỉ 24K size 0.40mm","24K","99.99%"
"BTPC24K-0.50","Bán thành phẩm chỉ 24K size 0.50mm","24K","99.99%"
"","","",""
"","","",""
"A2. BTP-DÂY BI","","",""
"Mã hàng","Tên hàng","Tuổi vàng",""
"1. Vàng 10K","","",""
"BTPD10KT","Bán thành phẩm dát 10K trắng","10K","41.60%"
"BTPD10KV","Bán thành phẩm dát 10K vàng","10K","41.60%"
"BTPD10KH","Bán thành phẩm dát 10K hồng","10K","41.60%"
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"2. Vàng 14K","","",""
"BTPD14KT","Bán thành phẩm dát 14K trắng","14K","58.30%"
"BTPD14KV","Bán thành phẩm dát 14K vàng","14K","58.30%"
"BTPD14KH","Bán thành phẩm dát 14K hồng","14K","58.30%"
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"3. Vàng 18K","","",""
"BTPD18KT","Bán thành phẩm dát 18K trắng","18K","75.00%"
"BTPD18KV","Bán thành phẩm dát 18K vàng","18K","75.00%"
"BTPD18KH","Bán thành phẩm dát 18K hồng","18K","75.00%"
"","","",""
"","","",""
"","","",""
"","","",""
"4. Vàng 24K","","",""
"BTPD24K","Bán thành phẩm dát 24K","24K","99.99%"
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"B1. THÀNH PHẨM-DÂY ĐAN","","",""
"Mã hàng","Tên hàng","Tuổi vàng",""
"1. Vàng 10K","","",""
"TP10KT-0.25","Thành phẩm dây đan 10K trắng size 0.25mm","10K","41.60%"
"TP10KT-0.30","Thành phẩm dây đan 10K trắng size 0.30mm","10K","41.60%"
"TP10KT-0.35","Thành phẩm dây đan 10K trắng size 0.35mm","10K","41.60%"
"TP10KT-0.40","Thành phẩm dây đan 10K trắng size 0.40mm","10K","41.60%"
"TP10KT-0.50","Thành phẩm dây đan 10K trắng size 0.50mm","10K","41.60%"
"TP10KV-0.25","Thành phẩm dây đan 10K vàng size 0.25mm","10K","41.60%"
"TP10KV-0.30","Thành phẩm dây đan 10K vàng size 0.30mm","10K","41.60%"
