"CÔNG TY TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BÁO CÁO CHI TIẾT TỒN BÁN THÀNH PHẨM - KHO L.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B. Bi ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stt","Sô PO","Loại bi","","","Kiểu khắc","Số lượng
(Viên)","Trọng lượng
(Gr)","Công đoạn 
hoàn thành","Công đoạn tiếp theo","Tồn kho","Ghi chú","","","","","","","","","","","","","","","","","","","","","",""
"1","2","2","","","3","3","4","4","5","5","6","","","","","","","","","","","","","","","","","","","","","",""
"I. Vàng 610W","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"II. Vàng 610Y","","","","","","204","81.35","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","PO231104-610Y","Bi trơn 3.0","610Y","PO231104-610Y610Y","","30","3.26","Vo bi","Khắc bi","Kho L3","Dự phòng","","","","","","","","","","","","","","","","","","","","","",""
"","PO231104-610Y","Bi trơn 6.0","610Y","PO231104-610Y610Y","","8","5.20","Vo bi","Khắc bi","Kho L3","Dự phòng","","","","","","","","","","","","","","","","","","","","","",""
"","PO231104-610Y","Bi trơn 8.0","610Y","PO231104-610Y610Y","","3","3.55","Vo bi","Khắc bi","Kho L3","Dự phòng","","","","","","","","","","","","","","","","","","","","","",""
"2","PO231104-610Y","Bi 2.5 ","610Y","PO231104-610Y610Y","Xoáy","20","3.89","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO231104-610Y","Bi 2.5","610Y","PO231104-610Y610Y","Caro","32","4.06","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO231104-610Y","Bi 3.0","610Y","PO231104-610Y610Y","Xoáy","35","5.21","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO231104-610Y","Bi 3.0","610Y","PO231104-610Y610Y","Caro","20","1.74","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO231104-610Y","Bi 4.0","610Y","PO231104-610Y610Y","Caro","20","2.82","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO231104-610Y","Bi 4.0","610Y","PO231104-610Y610Y","Mũi tên","3","0.49","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO231104-610Y","Bi 6.0 ","610Y","PO231104-610Y610Y","Xoáy","7","1.95","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO231104-610Y","Bi 6.0 ","610Y","PO231104-610Y610Y","Ngang","5","2.32","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO231104-610Y","Bi 6.0 ","610Y","PO231104-610Y610Y","Caro","13","6.54","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO231104-610Y","Bi 8.0","610Y","PO231104-610Y610Y","Ngang","3","35.54","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO231104-610Y","Bi 8.0","610Y","PO231104-610Y610Y","Dưa hấu","5","4.78","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"III. Vàng 750W","","","","","","136","33.86","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","PO230902-750W-3","Bi 3.0 ","750W","PO230902-750W-3750W","Caro","45","4.04","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO230902-750W-3","Bi 6.0","750W","PO230902-750W-3750W","Xoáy","10","4.60","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"2","PO240202-750W","Bi 5.0","750W","PO240202-750W750W","Xoáy","15","3.70","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO240202-750W","Bi 5.0","750W","PO240202-750W750W","Chữ M","3","0.69","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
