"CÔNG TY TNHH ASIANA GOLD","","","","","","","","","","","","","","",""
"[AGVN-C3107] BẢNG TRÌNH DUYỆT GIÁ TÍNH HAO HỤT THỢ ","","","","","","","","","","","","","","",""
"","","Kỳ thực hiện:","Tháng 05/2026","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"I. GIÁ NVL-VÀNG MUA VÀO","","","","","","","","","","","","","","",""
"NGÀY MUA","GIÁ VÀNG MUA VÀO
(VND/LƯỢNG)","GIÁ VÀNG BÌNH QUÂN 
(VND/LƯỢNG)","GIÁ QUY ĐỔI 
(VND/CHỈ)","NGUỒN DỮ LIỆU","","","","","","","","","","","3.13"
"06/05/2026","154,000,000đ","154,067,000 ","15,407,000 ","[KT409(L3)-AGVN][C109]-BẢNG THEO DÕI MUA NVL VÀNG/BẠC/PT NĂM 2026","","","","","","","","","","","2.347734773"
"12/05/2026","156,200,000đ","","","","","","","","","","","","","",""
"14/05/2026","152,000,000đ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"II.GIÁ NVL BẠC-PT/USD","","","","","","","","","","","","","","",""
"NGÀY","CHỈ TIÊU","GIÁ NIÊM YẾT
(USD)","GIÁ QUY ĐỔI
 (VND/GR)","GIÁ QUY ĐỔI
(VND/CHỈ)","NGUỒN DỮ LIỆU","","","","","","","","","",""
"31/05/2026","GIÁ PT (USD/OZ)","1,906.39 ","1,618,000 ","6,068,000 ","KITCO","","","","","","","","","",""
"31/05/2026","Giá PD (USD/OZ)","1,384.00 ","1,175,000 ","","https://www.dailymetalprice.com/metalprices.php#google_vignette","","","","","","","","","",""
"31/05/2026","GIÁ PT 900 (10%PD/OZ)","1,872.14 ","1,589,000 ","5,959,000 ","https://www.dailymetalprice.com/metalprices.php#google_vignette","","","","","","","","","",""
"31/05/2026","GIÁ BẠC (USD/OZ)","75.29 ","64,000 ","240,000 ","KITCO","","","","","","","","","",""
"31/05/2026","GIÁ USD ($)","1 ","26,395 ","","Tỷ giá","","","","","","","","","",""
"Ghi chú: ","1oz=31.1gram","","","","","","","","","","","","","",""
"","Giá PT900 bao gồm : 90% PT+10% PD","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","1. Tỷ giá Bạc: 75.286","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
