"CÔNG TY TNHH SXHP","","","",""
"BẢNG TRÌNH DUYỆT GIÁ TÍNH HAO HỤT THỢ - THÁNG 12/2022
","","","",""
"Ngày : 31/12/2022","","","",""
"","","","",""
"    ","Phòng kế toán kính trình BGĐ/ Chị Hạnh duyệt giá tính hao hụt công nợ thợ Tháng 12/2022, chi tiết như sau :","","",""
"I. GIÁ NVL-VÀNG","","","",""
"NGÀY MUA","GIÁ VÀNG MUA VÀO
(VND/LƯỢNG)","GIÁ VÀNG BÌNH QUÂN 
(VND/LƯỢNG)","GIÁ QUY ĐỔI 
(VND/CHỈ)","NGUỒN DỮ LIỆU"
"10/12/2022","53,180,000đ","53,083,300 ","5,308,300 ","https://docs.google.com/spreadsheets/d/1w8yg1LZz6KdsEACvJ-p4W4woAbCNvv4g3pVsakJvtrg/edit#gid=258363105"
"13/12/2022","53,100,000đ","","",""
"15/12/2022","53,040,000đ","","",""
"20/12/2022","52,960,000đ","","",""
"21/12/2022","53,250,000đ","","",""
"26/12/2022","52,970,000đ","","",""
"","","","",""
"II.GIÁ NVL PT - BẠC/ USD","","","",""
"Ngày","CHỈ TIÊU","GIÁ NIÊM YẾT","GIÁ QUY ĐỔI
 (VND/GR)","NGUỒN DỮ LIỆU"
"30/12/2022","GIÁ PT (USD/OZ)","1069","815.671","KITCO"
"30/12/2022","GIÁ BẠC (USD/OZ)","23,980","18,300.0","https://www.kitco.com/"
"31/12/2022","GIÁ USD ($)","23.730","0","https://portal.vietcombank.com.vn/Personal/TG/Pages/ty-gia.aspx?devicechannel=default"
"","","","",""
"GHI CHÚ:","1 Oz = 31.1 gram","","","Người lập : Bùi Chí Phát - KT NVL"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","1/ Giá bạc:","23,980","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","2/ Giá PT:","1069","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","3/ Giá USD: ","23.730","",""
