"STT","NGÀY XUẤT","SỐ CHỨNG TỪ","DIỄN GIẢI","MÃ HÀNG","TÊN MÃ HÀNG","ĐƠN GIÁ 
(lượng)","ĐVT","QTY BAN ĐẦU","TL BAN ĐẦU","TL THỰC NHẬN
gr","NGUỒN NHẬP","GHI CHÚ"
"29","28/04/2021","XKNL.T04-018","Xuất 20,6004 lượng vàng 24K (Anh Hưng duyệt ngày 26/04/2021)","24K","Vàng 24K","","gr","","772.46g","","","Xuất nhập Kho NVL (Chị Trân)"
"30","05/05/2021","XKNL.T05-002","Xuất 10,0014 lượng vàng 24K (CML duyệt 04/05/2021 01:40AM)","24K","Vàng 24K","","gr","","375.02g","","","Xuất nhập Kho NVL (Chị Trân)"
"31","07/05/2021","XKNL.T05-004","Xuất 10,0048 lượng vàng 24K (CML duyệt 04/05/2021 01:40AM)","24K","Vàng 24K","","gr","","375.13g","","","Xuất nhập Kho NVL (Chị Trân)"
"32","17/05/2021","XKNL.T05-006","Xuất 22.256(ngày 17/5, AH đã duyệt qua DT theo đề xuất chị Trân bổ sung thêm 5.935 chỉ (22.256gr) vàng 24K)","24K","Vàng 24K","","gr","","","","","Xuất nhập Kho NVL (Chị Trân)"
"33","22/05/2021","XKNL.T05-009","Xuất 4L814 Lượng vàng 24K (CML duyệt ngày 22/05/2021 08:00AM)","24K","Vàng 24K","","gr","","180.54gr","","","Xuất nhập Kho NVL (Chị Trân)"
"34","24/05/2021","XKNL.T05-010","Xuất 2L0020 Lượng vàng 24K (CML duyệt ngày 22/05/2021 08:00AM)","24K","Vàng 24K","","gr","","75.07g","","","Xuất nhập Kho NVL (Chị Trân)"
"35","25/05/2021","XKNL.T05-012","Xuất 3L0023 Lượng vàng 24K (CML duyệt ngày 25/05/2021 08:59AM)","24K","Vàng 24K","","gr","","112.57gr","112.57gr","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"36","25/05/2021","XKNL.T05-013","Xuất 2L0036 Lượng vàng 24K (CML duyệt ngày 25/05/2021 08:59AM)","24K","Vàng 24K","","gr","","75.11gr","75.11gr","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"37","01/06/2021","XKNL.T05-016","Xuất 6L9457 Lượng vàng 24K (CML duyệt ngày 01/06/2021 10:35AM)","24K","Vàng 24K","","gr","","260.50g","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"38","03/06/2021","XKNL.T06-02","Xuất 6L9993 Lượng vàng 24K (CML duyệt ngày 01/06/2021 10:06AM)","24K","Vàng 24K","","gr","","262.43gr","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
