"STT","NGÀY XUẤT","SỐ CHỨNG TỪ","DIỄN GIẢI","MÃ HÀNG","TÊN MÃ HÀNG","ĐƠN GIÁ 
(lượng)","ĐVT","QTY BAN ĐẦU","TL BAN ĐẦU","TL THỰC NHẬN
gr","NGUỒN NHẬP","GHI CHÚ"
"2/3/2021","PC014/03","Nguyễn Thị Thúy Hằng","Chi mua 5.0086 Lượng vàng 24K* 53.170.000vnđ/lượng = 266.307.000đ+ 69.000( tiền xe)"," 1111-CH2 ","","","","  266,376 ","","","",""
"4/3/2021","PC022/03","Trần Thị Ngọc Tươi","Chi mua 5L0042 Lượng vàng 24K* 52.940.000vnđ/lượng= 264.922.000vnđ+21.000vnđ( tiền xe đi mua vàng)"," 1111-CH2 ","","","","  264,943 ","","","",""
"11/3/2021","PC058/03","Trần Thị Ngọc Tươi","Chi mua 15L0011 Lượng vàng 24K* 51.710.000vnđ/lượng= 775.706.000vnđ+49.000vnđ( tiền xe đi mua vàng)"," 1111-CH2 ","","","","  775,755 ","","","",""
"11/3/2021","PC059/03","Trần Thị Ngọc Tươi","Chi mua 2L9993 Lượng vàng 24K* 51.790.000vnđ/lượng= 155.333.000vnđ+42.000vnđ( tiền xe đi mua vàng)"," 1111-CH2 ","","","","  155,375 ","","","",""
"11/3/2021","PC060/03","Trần Thị Ngọc Tươi","Chi mua 5L0034 Lượng vàng 24K* 51.790.000vnđ/lượng"," 1111-CH2 ","","","","  259,126 ","","","",""
"15/03/2021","","Nguyễn Thị Thúy Hằng","Chi mua 8L0032 Lượng vàng 24K* 51.480.000vnđ/lượng=412.004.000vnđ+ 42.000vnđ( tiền xe)"," 1111-CH2 ","","","","  412,046 ","","","",""
"20/03/2021","PC104/03","Nguyễn Thị Thúy Hằng","Chi mua 4L0061 Lượng vàng 24k* 51.350.000vnđ/lượng= 205.713.000vnđ + 42.000vnđ( tiền xe)"," 1111-CH2 ","","","","  205.755 ","","","",""
"24/03/2021","PC120/03","Nguyễn Thị Thúy Hằng","Chi mua 6L0022 Lượng vàng 24k* 51.200.000vnđ/lượng= 307.312.000vnđ + 43.000vnđ( tiền xe)"," 1111-CH2 ","","","","  307,355 ","","","",""
"29/03/2021","PC151/03","Nguyễn Thị Thúy Hằng","Chi mua 2L5005 Lượng vàng 24k* 50.680.000vnđ/lượng= 126.725.000vnđ + 43.000vnđ( tiền xe)"," 1111-CH2 ","","","","  126,768 ","","","",""
"5/4/2021","PC018/04","Nguyễn Thị Thúy Hằng","Chi mua 5L0056 Lượng vàng 24k* 50.290.000vnđ/lượng= 251.371.000vnđ + 48.000vnđ( tiền xe)"," 1111-CH2 ","","","","  251,779 ","","","",""
"8/4/2021","PC037/04","Nguyễn Thị Thúy Hằng","Chi mua 5L0031 Lượng vàng 24k* 50.680.000vnđ/lượng= 253.557.000vnđ + 47.000vnđ( tiền xe)"," 1111-CH2 ","","","","  253,604 ","","","",""
"10/4/2021","PC047/04","Nguyễn Thị Trúc Duyên","Chi mua 3L0003 Lượng vàng 24k* 50.680.000vnđ/lượng= 152.265.000vnđ + 53.000vnđ (phí đi lại 2 lượt)"," 1111-CH2 ","","","","  152,318 ","","","",""
"13/04/2021","PC070/04","Nguyễn Thị Thúy Hằng","Chi mua 6L0073 Lượng vàng 24k* 50.940.000vnđ/lượng= 306.011.000vnđ + 42.000vnđ (phí đi lại 2 lượt)"," 1111-CH2 ","","","","  306.053 ","","","",""
"19/04/2021","PC097/04","Nguyễn Thị Thúy Hằng","Chi mua 8L0032 Lượng vàng 24k* 52.770.000vnđ/lượng= 422.328.000vnđ + 42.000vnđ (phí đi lại 2 lượt)"," 1111-CH2 ","","","","  422,370 ","","","",""
"26/04/2021
","PC131/04","Ngô Mỹ Hạnh","Chi mua 21L0016 Lượng vàng 24K * 52.350.000vnđ/lượng = 1.099,433,000VND + 37.000vnđ (tiền xe)","  1111-CH2  ","","","","  1,099,470 ","","","",""
"27/04/2021","PC134/04","Trần Thị Ngọc Tươi","Chi mua 6L0034 Lượng vàng 24K * 52.180.000vnđ/lượng = 313.257,000VND + 49.000vnđ (tiền xe)"," 1111-CH2 ","","","","  313,306 ","","","",""
"5/5/2021","PC010/05","Nguyễn Thị Thúy Hằng","Chi mua 25L0093 Lượng vàng 24K * 51.700.000vnđ/lượng = 1.292.980,000VND + 53.000vnđ (tiền xe)"," 1111-CH2 ","","","","  1,293,033 ","","","",""
"24/05/21","PC100/05","Nguyễn Thị Thúy Hằng","Chi mua 5L0043 Lượng vàng 24K * 52.900.000vnđ/lượng = 264.727.000VND + 53.000vnđ (tiền xe)"," 1111-CH2 ","","","","  264,780 ","","","",""
"25/05/2021","PC105/05","Nguyễn Thị Thúy Hằng","Chi mua 2L0036 Lượng vàng 24K * 52.870.000vnđ/lượng = 105.930.000VND + 58.000vnđ (tiền xe)"," 1111-CH2 ","","","","  105,988 ","","","",""
"31/05/2021","PC118/05","Nguyễn Thị Thúy Hằng","Chi mua 13L9460 vàng 24K * 53.480.000vnđ/lượng = 745.832.000vnđ + 53.000 vnđ (tiền xe)"," 1111-CH2 ","","","","  745,885 ","","","",""
"4/6/2021","PC022/06","Nguyễn Thị Thúy Hằng","Chi mua 6L0061 Lượng vàng 24K * 52.780.000vnđ/lượng = 317.002.000VND + 53.000vnđ (tiền xe)"," 1111-CH2 ","","","","  317,055 ","","","",""
"8/6/2021","PC030/06","Trần Thị Ngọc Tươi","Chi TT mua 12L0084 Lượng vàng 24K * 52.940.000vnđ/lượng = 635.724.000VND + 40.000vnđ (tiền xe)"," 1111-CH2 ","","","","  635,764 ","","","",""
"12/6/2021","PC045/06","Trần Thị Ngọc Tươi","Chi TT mua 5L0049 Lượng vàng 24K * 52.820.000vnđ/lượng = 264.358.000VND + 46.000vnđ (tiền xe)"," 1111-CH2 ","","","","  264,404 ","","","",""
"15/06/2021","PC057/06","Nguyễn Thị Thúy Hằng","Chi TT mua 4L9988 Lượng vàng 24K * 52.570.000vnđ/lượng = 262.787.000VND + 53.000vnđ (tiền xe)"," 1111-CH2 ","","","","  262,840 ","","","",""
"6/18/2021","PC073/06","Nguyễn Thị Thúy Hằng","Chi TT mua 4L0034 Lượng vàng 24K * 51.700.000vnđ/lượng = 206.975.000VND + 53.000vnđ (tiền xe)"," 1111-CH2 ","     ","","     ","  207,028 ","","   ","",""
"21/06/2021","PC078/06","Nguyễn Thị Thúy Hằng","Chi TT mua 2L0031 Lượng vàng 24K * 51.700.000vnđ/lượng = 103.560.000VND + 53.000vnđ (tiền xe)"," 1111-CH2 ","     ","","     ","  103,613 ","","     ","",""
"23/06/2021","PC087/06","Nguyễn Thị Thúy Hằng","Chi TT mua 4L9986 Lượng vàng 24K * 51.620.000vnđ/lượng = 258.027.000VND + 52.000vnđ (tiền xe)"," 1111-CH2 ","     ","","     ","  258,079 ","","     ","",""
"25/06/2021","PC096/06","Trần Thị Ngọc Tươi","Chi TT mua 3L9998 Lượng vàng 24K * 51.520.000vnđ/lượng = 206.069.000VND + 20.000vnđ (tiền xe)"," 1111-CH2 ","     ","","     ","  206,089 ","   ","     ","",""
"28/06/2021","PC099/06","Nguyễn Thị Thúy Hằng","Chi TT mua 6L0022 Lượng vàng 24K * 51.450.000vnđ/lượng = 308.813.000VND + 53.000vnđ (tiền xe)"," 1111-CH2 ","     ","","     ","  308,866 ","   ","     ","",""
"1/7/2021"," PC006/07 "," Trần Thị Ngọc Tươi "," Chi TT mua 9L0007 Lượng vàng 24K * 51.010.000vnđ/lượng = 459.125.000VND + 40.000vnđ (tiền xe) "," 1111-CH2 ","","","","  459,165 ","","","",""
"8/7/2021","  PC037/07  "," Nguyễn Thị Thúy Hằng "," Chi TT mua 10L0034 Lượng vàng 24K * 51.170.000vnđ/lượng = 511.874.000VND + 53.000vnđ (tiền xe) "," 1111-CH2 ","","","","  511,927 ","","","",""
"26/07/2021"," PC51A/07 
 ","Ngô Mỹ Hạnh"," Chi TT mua 10L034 Lượng vàng 24K * 51.210.000vnđ/lượng "," 1111-CH2 ","","","","  513.843 ","","","",""
"9/8/2021"," PC005/08 ","Ngô Mỹ Hạnh"," Chi mua 4.0394 lượng vàng 24K "," 1111-CH2 ","","","","  204,999 ","","","",""
"13/8/2021"," PC013/08 ","Ngô Mỹ Hạnh","Chi mua Chi TT mua 10.346Lượng vàng 24K*50.840vnđ/lượng (Phiếu 05)"," 1111-CH2 ","","","","  525,990 ","","","",""
"20/8/2021"," PC022/08 ","Ngô Mỹ Hạnh","Chi mua 12.1945Lượng vàng 24K*51.080vnđ/lượng (CML đã duyệt task 4pm 19/08)"," 1111-CH2 ","","","","  622,895 ","","","",""
"22/8/2021","PC027/08","Ngô Mỹ Hạnh","Chi mua 15.0892l vàng 24K--> CML đã duyệt task 12pm 22/08 "," 1111-CH2 ","","","","  770,605 ","","","",""
"6/9/2021","PC003/09","Ngô Mỹ Hạnh","Chi mua 3.830 lượng vàng 24K (đơn giá 51.560.000/lương)"," 1111-CH2 ","","","","  197,474 ","","","",""
"10/9/2021","PC011/09","Ngô Mỹ Hạnh","Chi mua 8.344 lượng vàng 24K (đơn giá 51.350.000/lương)"," 1111-CH2 ","","","","  428,469 ","","","",""
"15/9/2021","PC012/09","Ngô Mỹ Hạnh","Chi mua 9.364 lượng vàng 24K (đơn giá 51.340.000/lương)"," 1111-CH2 ","","","","  480,747 ","","","",""
"20/9/2021","PC015/09","Ngô Mỹ Hạnh","Chi mua 9.364 lượng vàng 24K (đơn giá 51.340.000/lương)"," 1111-CH2 ","","","","  334,597 ","","","",""
"25/9/2021","PC016/09","Ngô Mỹ Hạnh","Chi mua 3.8618 lượng vàng 24K (đơn giá 51.020.000/lương)"," 1111-CH2 ","","","","  197,029 ","","","",""
"27/9/2021","PC017/09","Ngô Mỹ Hạnh","Chi mua 3.4705 lượng vàng 24K (đơn giá 51.020.000/lương)"," 1111-CH2 ","","","","  177,065 ","","","",""
"29/9/2021","PC018/09","Ngô Mỹ Hạnh","Chi mua 2.955lượng vàng 24K (đơn giá 51.086.000/lương)"," 1111-CH2 ","","","","  150,291 ","","","",""
"9/10/2021","PC2015/10","Nguyễn Thị Thúy Hằng","Chi mua 4L9976 Lượng vàng 24K * 50.510.000vnđ/lượng = 252.428.000VND"," 1111-CH2 ","","","","  252,428 ","","","",""
"12/10/2021","PC2028/10","Ngô Mỹ Hạnh","Chi mua vàng 1.929 lượng vàng 24K (đơn giá: 50.620.000vnd/lượng)"," 1111-CH2 ","","","","  97,646 ","","","",""
"15/10/2021","PC2035/10","Nguyễn Thị Thúy Hằng","Chi TT mua 4L9985 Lượng vàng 24K * 50.900.000vnđ/lượng = 254.423.000VND"," 1111-CH2 ","","","","  254,423 ","","","",""
"21/10/2021","PC2053/10","Nguyễn Thị Thúy Hằng","Chi mua 12.843 lượng vàng 24K (đơn giá: 51.030.000vnd)"," 1111-CH2 ","","","","  655,378 ","","","",""
"1/11/2021","PC2005/11","Ngô Mỹ Hạnh","Chi mua 18.5955l vàng 24K-PGP ngày 1/11/2021 (đơn giá: 51.490.000vnd) "," 1111-CH2 ","","","","  957,482 ","","","",""
"1/11/2021","PC2006/11","Ngô Mỹ Hạnh","Chi mua 17.286l vàng 24K ngày 1/11/2021 (đơn giá: 51.490.000vnd)"," 1111-CH2 ","","","","  890,056 ","","","",""
"8/11/2021","PC2033/11 ","Ngô Mỹ Hạnh","Chi mua 12.9422l vàng 24K (đơn giá: 51.715.000vnd) "," 1111-CH2 ","","","","  669,305 ","","","",""
"10/11/2021","PC2051/11 ","Ngô Mỹ Hạnh","Chi mua 16.4002l vàng 24K-PGP (đơn giá: 51.900.000vnd) "," 1111-CH2 ","","","","  851,170 ","","","",""
"12/11/2021","PC2059/11 ","Ngô Mỹ Hạnh","Chi tiền mua 9.93L vàng 24K (đơn giá 52.850.000 VND/Lượng) "," 1111-CH2 ","","","","  524,800 ","","","",""
"16/11/2021","PC2081/11 ","Ngô Mỹ Hạnh","Chi mua 9.864L vàng 24K-PGP (đơn giá: 53.200.000đ) "," 1111-CH2 ","","","","  524,764 ","","","",""
"17/11/2021","PC2089/11 ","Ngô Mỹ Hạnh","Chi mua 6.998l vàng 24K (đơn giá: 53.160.000vnd) "," 1111-CH2 ","","","","  372,013 ","","","",""
"29/11/2021","PC2131/11 ","Ngô Mỹ Hạnh","Chi mua 15.9237lượng vàng 24K (đơn giá: 51.770.00vnd) "," 1111-CH2 ","","","","  824,370 ","","","",""
"8/12/2021","PC2027/12 ","Ngô Mỹ Hạnh","Chi mua 25.9297 Lượng vàng 24k * 51.710 "," 1111-CH2 ","","","","  1,340,824 ","","","",""
"17/12/2021","PC2066/12 ","Ngô Mỹ Hạnh","Chi mua 39.8359 lượng vàng 24K-PGP0521 (đơn giá: 52.110.000vnd) "," 1111-CH2 ","","","","  2,075,848 ","","","",""
"20/12/2021","PC2078/12 ","Ngô Mỹ Hạnh","Chi mua 28.9910 lượng vàng 24K (đơn giá: 52.190.000vnd) "," 1111-CH2 ","","","","  1,513,040 ","","","",""
"28/12/2021","PC2106A/12 ","Ngô Mỹ Hạnh","Chi mua 19.98 lượng vàng 24K (đơn giá: 52.170.000vnd) (lần 1) "," 1111-CH2 ","","","","  900,000 ","","","",""
