"[HPVN-KHO] BẢNG THEO DÕI NHẬP XUẤT SPBH ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Ghi chú:","Mục tồn cuối"
"","","","","","","","","","","","","","","","","","Số -1 : là số xuất NVL cho xưởng ( số xưởng nợ )"
"","","","","","","","","","","","","","","","","","Số 0: là kế thúc quy trình nhập xuất ( số xưởng trả NVL lại hết nợ )"
"CH","Số CT","Ngày","Mã SKU, MO","CHI TIẾT SẢN PHẨM","LOẠI VÀNG","ĐẦU KỲ","","NHẬP","","XUẤT","","Tồn cuối","","Ghi chú","","","Số 1 : là số sai , cần xem lại"
"","","","","","","SỐ 
LƯỢNG ","TL THỰC TẾ","SỐ 
LƯỢNG ","TL THỰC TẾ","SỐ 
LƯỢNG ","TL THỰC TẾ","SỐ 
LƯỢNG ","Chênh lệch ","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","XK-SR/23.0203","15/02/2023","115914","DIAPD:WHT+YEL 31RD/0.236ct 3.06gr P10475","18K","","","","","1","3.06","0","-0.02","","","",""
"","XK-SR/23.0203","15/02/2023","203847","DBGMT: WHT 148RD/1.097ct 18.12gr G10047","18K","","","","","1","18.03","0","-0.2","","","",""
"","XK-SR/23.0203","15/02/2023","115966","DRIMT:WHT 34RD/0.61CT 3.51gr RDL21015-075 GM","18K","","","","","1","3.37","0","0","","","",""
"","XK-SR/23.0203","15/02/2023","116044","DRIMT: 18KW 114RD/0.906cts. 3.26gr B12029 Size: 3.75","18KW","","","","","1","3.09","0","0.1","","","",""
"","XK-SR/23.0203","15/02/2023","115947","DERMT:18KW 48RD/0.796cts 3.48gr E10778-4.5mm","18KW","","","","","1","3.43","0","-0.05","","","",""
"","XK-SR/23.0203","15/02/2023","116063","DPDMT:WHT 17RD/0.75ct PDO13511- HP50 GM","18K","","","","","1","1.59","0","0.06","","","",""
"","XK-SR/23.0203","15/02/2023","115906","DPDMT:WHT 59RD/0.269ct 1.62g P10160","18K","","","","","1","1.6","0","-0.01","","","",""
"","XK-SR/23.0203","15/02/2023","116051","DERMT:18KW 16RD/0.64cts 2.98gr E10486-","18KW","","","","","1","2.92","0","0.06","","","",""
"","XK-SR/23.0203","15/02/2023","116047","DRIMT:WHT 14RD/0.282ct 3.33g B10800","18K","","","","","1","3.22","0","0.01","","","",""
"","XK-SR/23.0203","15/02/2023","116039","DRIMT : 18KW 42RD/0.334cts 3.29GR B11302-5.0mm Size: 5","18KW","","","","","1","3.26","0","-0.06","","","",""
