"CÔNG TY TNHH ASIANA GOLD","","","",""
"","","","",""
"DANH MỤC NGUYÊN VẬT LIỆU","","","",""
"","","","",""
"Mã hàng","Tên hàng","Tuổi vàng (K)","Tuổi","MÃ NHÓM NL"
"I. NGUYÊN LIỆU VÀNG","","","",""
"A. THÀNH PHẨM","","","",""
"BY40FS-680","LắcFranco vuông 0.40,680Y","16K","68.00%","TP16K"
"BBY2.5/6.0-680","Lắc bi 2.5/6.0,680Y","16K","68.00%","TP16K"
"BBY2.5-680","Lắc bi 2.5,680Y","16K","68.00%","TP16K"
"CBY2.5-680","Dây bi 2.5,680Y","16K","68.00%","TP16K"
"BBY8.0-680","Lắc bi 8.0,680Y","16K","68.00%","TP16K"
"BBWY2.5/4.0-750","Lắc bi 2.5/4.0,750WY","18K","75.00%","TP18K"
"BBY2.5/4.0-680","Lắc bi 2.5/4.0,680Y","16K","68.00%","TP16K"
"CY60CA4-610","Dây cong khế 0.60,610Y","15K","61.00%","TP15K"
"CY50CA4-610","Dây cong khế 0.50,610Y","15K","61.00%","TP15K"
"CY50CA4-680","Dây cong khế 0.50,680Y","16K","68.00%","TP16K"
"CY60CA4-680","Dây cong khế 0.60,680Y","16K","68.00%","TP16K"
"GBY4.0-610","Vòng bi 4.0,610Y","15K","61.00%","TP15K"
"GBY4.0/6.0-610","Vòng bi 4.0/6.0,610Y","15K","61.00%","TP15K"
"CBY2.0-750","Dây bi 2.0,750Y","18K","75.00%","TP18K"
"CW30HT1-750","Dây mì dẹp xoắn 0.30, 750W","18K","75.00%","TP18K"
"CW35CA1-750","Dây chữ cong 0.35, 750W","18K","75.00%","TP18K"
"GBY4.0/6.0-680","Vòng bi 4.0/6.0, 680Y","16K","68.00%","TP16K"
"GBY4.0/6.0-750","Vòng bi 4.0/6.0, 750Y","18K","75.00%","TP18K"
"BY50FS-680","LắcFranco vuông 0.50,680Y","16K","68.00%","TP16K"
"BY60FS-680","LắcFranco vuông 0.60,680Y","16K","68.00%","TP16K"
"BBY5.0-680","Lắc bi 5.0,680Y","16K","68.00%","TP16K"
"CY30CA1-750","Dây chữ cong 0.30,750Y","18K","75.00%","TP18K"
"CW30CA1-750","Dây chữ cong 0.30,750W","18K","75.00%","TP18K"
"GBY6.0-680","Vòng bi 6.0,680Y","16K","68.00%","TP16K"
"GBY4.0-680","Vòng bi 4.0, 680Y","16K","68.00%","TP16K"
"GBY4.0-750","Vòng bi 4.0, 750Y","18K","75.00%","TP18K"
"CY50CU-680","Dây khoen lật 0.50,680Y","16K","68.00%","TP16K"
"BBY6.0-680","Lắc bi 6.0,680Y","16K","68.00%","TP16K"
"CY40HT1-680","Dây mì dẹp xoắn 0.40,680Y","16K","68.00%","TP16K"
"CY40CA4-680","Dây cong khế 0.40,680Y","16K","68.00%","TP16K"
"CY40CU-680","Dây khoen lật 0.40,680Y","16K","68.00%","TP16K"
"CY30HT1-680","Dây mì dẹp xoắn 0.30,680Y","16K","68.00%","TP16K"
"CW40CA1-750","Dây chữ cong 0.40,750W","18K","75.00%","TP18K"
"CW35CU-750","Dây khoen lật 0.35,750W","18K","75.00%","TP18K"
"CY50CA1-750","Dây chữ cong 0.50,750Y","18K","75.00%","TP18K"
"GBW4.0/6.0-750","Vòng bi 4.0/6.0,750W","18K","75.00%","TP18K"
"GBW4.0-750","Vòng bi 4.0,750W","18K","75.00%","TP18K"
"BBW4.0/6.0-750","Lắc bi 4.0/6.0,750W","18K","75.00%","TP18K"
"CR30CA1-750","Dây chữ cong 0.30,750R","18K","75.00%","TP18K"
"BBY3.0/5.0/8.0-680","Lắc bi 3.0/5.0/8.0,680Y","16K","68.00%","TP16K"
"CY70CA4-680","Dây cong khế 0.70,680Y","16K","68.00%","TP16K"
"CBW2.5-750","Dây bi 2.5,750W","18K","75.00%","TP18K"
"CW50CA4-750","Dây cong khế 0.50,750W","18K","75.00%","TP18K"
"CW60CA4-750","Dây cong khế 0.60,750W","18K","75.00%","TP18K"
"CY35CA4-680","Dây cong khế 0.35,680Y","16K","68.00%","TP16K"
"CY70CA4-610","Dây cong khế 0.70,610Y","15K","61.00%","TP15K"
