"","","","",""
"ĐỀ XUẤT NẤU BỘT BÀO","","","",""
"","","","",""
"STT","Tên nguyên liệu","Tuổi vàng","TL nguyên 
(gr)","TL Qui 24K
(Lượng)"
"[1]","[2]","[3]","[4]","[5] = [4] * [3]
/99.99%/37.5"
"1","Bột bào vàng 610","61%","92.36","1.5"
"TC","","","92.36","1.5"
