"BÁO CÁO TRẠNG THÁI ĐƠN HÀNG","","","","","","","","","","","","","","","","","","","",""
"Cập nhật đến ngày 10 tháng 07 năm 2026","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","TRẠNG THÁI ĐƠN HÀNG","CHƯA HOÀN TẤT","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"STT","THÁNG","NGÀY ĐẶT HÀNG","CỬA HÀNG","","SỐ PO","","MÃ SẢN PHẨM","TÊN GỌI","LOẠI VÀNG","SL ĐẶT HÀNG
(Viên/Sợi)","TRỌNG LƯỢNG
(Gr)","DEADLINE ĐƠN HÀNG","TIẾN ĐỘ HOÀN THÀNH","SL ĐÃ GIAO","TL ĐÃ GIAO","SL CHƯA HT","TL CHƯA HT","TL quy 24K (L)","CÁCH NGÀY DEADLINE
(Ngày)","CẢNH BÁO"
"17","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/11]","BB","BBY6","Dây Bi : Size 6.0mm Chữ S Cong","610Y","4","29.48","","","","","4","29.48","17.98","",""
"18","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/11]","BB","GBY3-01","Vòng Bi 1 Tầng
Size 3.0mm Khắc Chữ S Cong","610Y","5","27.00","","","","","5","27.00","16.47","",""
"19","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/11]","BB","GBY3-01","Vòng Bi 1 Tầng
Size 3.0mm Khắc Chữ Xoáy","610Y","5","27.00","","","13","43.75","-8","-16.75","-10.22","",""
"20","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/11]","BB","GBY4-01","Vòng Bi 1 Tầng
Size 4.0mm Khắc Dưa Hấu","610Y","5","32.80","","","","","5","32.80","20.01","",""
"21","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/11]","BB","GBY4-01","Vòng Bi 1 Tầng
Size 4.0mm Khắc Ngang Full","610Y","5","32.80","","","","","5","32.80","20.01","",""
"22","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/11]","BB","GBY6-01","Vòng Bi 1 Tầng
Size 6.0mm Khắc Dưa Hấu","610Y","3","25.89","","","","","3","25.89","15.79","",""
"23","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/11]","BB","GBY6-01","Vòng Bi 1 Tầng
Size 4.0mm Khắc Chữ S Cong","610Y","3","25.89","","","","","3","25.89","15.79","",""
"24","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/11]","BB","PK610YKGN","Phụ kiện khóa giọt nước","610Y","20","7.40","","","","","20","7.40","4.51","",""
"25","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/11]","BB","PK610YKCC","Phụ kiện khóa càng cua","610Y","20","12.20","","","","","20","12.20","7.44","",""
"26","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/11]","BB","PK680YKGN","Phụ kiện khóa giọt nước","680Y","20","7.40","","","","","20","7.40","5.03","",""
"27","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/11]","BB","PK680YKCC","Phụ kiện khóa càng cua","680Y","20","12.20","","","","","20","12.20","8.30","",""
"28","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/12]","DD","CW35FS","Dây Franco 0.35","750W","5","20.50","","","","","","","","",""
"29","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/12]","DD","CW70FS","Dây Franco 0.7","750W","3","58.95","","","","","","","","",""
"30","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/12]","BB","CBW2.5","Dây Bi : Size 2.5mm Khắc Xoáy","750W","3","62.70","","","","","","","","",""
"31","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/12]","BB","CBW5","Dây Bi : Size 5.0mm Khắc Dưa Hấu","750W","3","138.88","","","","","","","","",""
"32","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/12]","BB","BBW4","Dây Bi : Size 4.0mm Khắc Dưa Hấu","750W","3","34.61","","","","","","","","",""
"33","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/12]","BB","BBW6","Lắc Bi : Size 6.0mm Chữ S Cong","750W","3","46.21","","","","","","","","",""
"34","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/12]","BB","PK750WKGN","Phụ kiện khóa giọt nước","750W","20","7.40","","","","","20","7.40","5.55","",""
"35","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/12]","BB","PK750WKCC","Phụ kiện khóa càng cua","750W","20","12.20","","","","","20","12.20","9.15","",""
"36","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","DD","CAG30CA1","Dây Chữ Cong Size 0.30mm","Bac92.5","5","26.80","","","","","5","26.80","#VALUE!","",""
"37","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","DD","CAG50CA1","Dây Chữ Cong Size 0.50mm","Bac92.5","5","24.10","","","","","5","24.10","#VALUE!","",""
"38","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","DD","CAG80CA1","Dây Chữ Cong Size 0.80mm","Bac92.5","5","60.35","","","5","11.00","0","49.35","#VALUE!","",""
"39","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","DD","CAG30CA4","Dây Cong Khế Size 0.30mm","Bac92.5","5","26.80","","","5","31.35","0","-4.55","#VALUE!","",""
"40","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","DD","CAG60CA4","Dây Cong Khế Size 0.60mm","Bac92.5","5","30.70","","","","","5","30.70","#VALUE!","",""
"41","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","DD","CAG70CA4","Dây Cong Khế Size 0.70mm","Bac92.5","5","53.10","","","3","106.59","2","-53.49","#VALUE!","",""
"42","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","DD","CAG50CU","Dây Khoen Lật Size 0.50mm","Bac92.5","5","22.90","","","","","5","22.90","#VALUE!","",""
"43","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","DD","CAG70CU","Dây Khoen Lật Size 0.70mm","Bac92.5","5","49.85","","","","","5","49.85","#VALUE!","",""
"44","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","DD","CAG35FS","Dây Franco Vuông","Bac92.5","5","24.20","","","","","5","24.20","#VALUE!","",""
"45","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","DD","CAG60FS","Dây Franco Vuông","Bac92.5","5","91.80","","","","","5","91.80","#VALUE!","",""
"46","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","DD","BAG70FS","Lắc Franco Vuông","Bac92.5","5","37.00","","","","","5","37.00","#VALUE!","",""
"47","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","DD","CAG40HE","Dây Mì Dẹp Trơn","Bac92.5","5","25.85","","","","","","","","",""
"48","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","DD","CAG60HE","Dây Mì Dẹp Trơn","Bac92.5","5","98.20","","","","","","","","",""
"49","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","DD","CAG30HT1","Dây Mì Dẹp Xoắn 0.30mm","Bac92.5","5","25.10","","","","","","","","",""
"50","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","DD","CAG40HT1","Dây Mì Dẹp Xoắn 0.40mm","Bac92.5","5","37.45","","","","","","","","",""
"51","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","BB","CBAG2.5","Dây Bi : Size 2.5mm Khắc Kim Cương","Bac92.5","2","23.60","","","","","","","","",""
"52","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","BB","BBAG2.5","Lắc Bi : Size 2.5mm Khắc Xoáy","Bac92.5","2","9.40","","","","","","","","",""
"53","THÁNG 05","30/05/2025","PKD SĨ","Chào hàng","[DHAG-25/05/13]","BB","GBAG3-01","Vòng Bi 1 Tầng  : Size 3.0 mm Khắc Chữ S Cong","Bac92.5","2","12.80","","","","","","","","",""
"54","THÁNG 06","06/04/2025","CH2","SR","[DHAG-25/06/01]","DD","CY60CA4","DÂY CONG KHẾ 0.60","750Y","10","50.00","","","","","","","","",""
