"","","","","","","","","","","","","","","","","","","","","",""
"BÁO CÁO TỔNG HỢP TIẾN ĐỘ ĐƠN HÀNG THEO CỬA HÀNG","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Click chọn cửa hàng >>>>>>>","PSX L2","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","BẢNG TỔNG HỢP","","",""
"STT","THÁNG","NGÀY ĐẶT HÀNG","SỐ PO","","MÃ SẢN PHẨM","TÊN SẢN PHẨM ","LOẠI VÀNG","","SỐ LƯỢNG
(Sợi/Viên)","DEADLINE ĐƠN HÀNG","NGÀY THỰC HIỆN ĐH","Đã giao
(Sợi/Viên)","TRẠNG THÁI ĐH","TIẾN ĐỘ ĐƠN HÀNG","NGÀY HOÀN TẤT","","","ĐƠN HÀNG","SỐ LƯỢNG ĐẶT HÀNG","ĐÃ GIAO","CÒN LẠI"
"TỔNG ĐƠN HÀNG","","","5","","","","","","451","","","","","","","","","DHAG-25/03/02","35","35","0"
"1","THÁNG 03","07/03/2025","DHAG-25/03/02","BB","BICR30750W","Bi rời 3.0mm, caro","750W","","35","07/03/2025","","35","Đã giao đủ","HOÀN TẤT","07/03/2025","","","[DHAG-25/06/03]","130","130","0"
"2","THÁNG 06","05/06/2025","[DHAG-25/06/03]","BB","B750W30CR","Bi rời 3.0, kiểu caro","750W","","53","","","53","Đã giao đủ","HOÀN TẤT","09/06/2025","","","[DHAG-25/08/07]","218","0","218"
"3","THÁNG 06","05/06/2025","[DHAG-25/06/03]","BB","B750W50CR","Bi rời 5.0, kiểu caro","750W","","6","","","6","Đã giao đủ","HOÀN TẤT","09/06/2025","","","[DHAG-25/09/02]","66","66","0"
"4","THÁNG 06","05/06/2025","[DHAG-25/06/03]","BB","B750W50CR","Bi rời 5.0, kiểu caro","750W","","59","","","59","Đã giao đủ","HOÀN TẤT","09/06/2025","","","[DHAG-25/09/05]","2","2","0"
"5","THÁNG 06","05/06/2025","[DHAG-25/06/03]","BB","B750Y50CS","Bi rời 5.0, kiểu chữ S","750Y","","6","","","6","Đã giao đủ","HOÀN TẤT","","","","","0","0","0"
"6","THÁNG 06","05/06/2025","[DHAG-25/06/03]","BB","B750Y50CR","Bi rời 5.0, kiểu caro","750Y","","6","","","6","Đã giao đủ","HOÀN TẤT","","","","","0","0","0"
"7","THÁNG 08","14/08/2025","[DHAG-25/08/07]","BB","BICR50750Y","BI RỜI 5.0 KIỂU CARO","750Y","","6","","","","","HOÀN TẤT","","","","","0","0","0"
